Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of myoblast proliferation	3/123	0.00448028781638107158336037372237115050666034221649169921875	0.422098820937072016779012528786552138626575469970703125	0.00098145997911993211430814465501271115499548614025115966796875	0.224703672230263495901425585543620400130748748779296875	-3.092433907103991	16.724092823862435	ZNF609;TNFRSF9;FYN
mitotic G2 DNA damage checkpoint	2/29	0.002772429545253523620884639200312449247576296329498291015625	0.422098820937072016779012528786552138626575469970703125	0.00107920375308528221879045272402208865969441831111907958984375	0.224703672230263495901425585543620400130748748779296875	-2.318209505761697	13.649690016415684	FANCI;RBBP8
positive regulation of protein catabolic process in the vacuole	1/11	0.0293095096731706659942684467523577040992677211761474609375	0.422098820937072016779012528786552138626575469970703125	0.018836339301623351849546139646918163634836673736572265625	0.224703672230263495901425585543620400130748748779296875	-3.598679015281495	12.702772843221176	DACT1
neural tube patterning	1/13	0.034547169573155490918114907117342227138578891754150390625	0.422098820937072016779012528786552138626575469970703125	0.0219426899699146742139799215465245652012526988983154296875	0.224703672230263495901425585543620400130748748779296875	-3.6983149198692327	12.446418703945834	DACT1
sympathetic neuron projection extension	1/11	0.0293095096731706659942684467523577040992677211761474609375	0.422098820937072016779012528786552138626575469970703125	0.018836339301623351849546139646918163634836673736572265625	0.224703672230263495901425585543620400130748748779296875	-3.351733389862078	11.831093493379338	ALCAM
positive regulation of Wnt signaling pathway, planar cell polarity pathway	1/10	0.0266802316593241252429269394497168832458555698394775390625	0.422098820937072016779012528786552138626575469970703125	0.017279642651620276405655118878712528385221958160400390625	0.224703672230263495901425585543620400130748748779296875	-3.242603139850169	11.750650237754927	DACT1
neural tube formation	1/13	0.034547169573155490918114907117342227138578891754150390625	0.422098820937072016779012528786552138626575469970703125	0.0219426899699146742139799215465245652012526988983154296875	0.224703672230263495901425585543620400130748748779296875	-3.4629847312030764	11.654431508349978	DACT1
nucleotide-excision repair involved in interstrand cross-link repair	2/71	0.0157865771871109929203047528289971523918211460113525390625	0.422098820937072016779012528786552138626575469970703125	0.00586012171162135324375963563170444103889167308807373046875	0.224703672230263495901425585543620400130748748779296875	-2.79733700331677	11.605018991005005	FANCI;RBBP8
positive regulation of low-density lipoprotein particle receptor catabolic process	1/12	0.031931816265163885659728038035609642975032329559326171875	0.422098820937072016779012528786552138626575469970703125	0.0203906872864292633418248357202173792757093906402587890625	0.224703672230263495901425585543620400130748748779296875	-3.3557348755900005	11.557662295848518	DACT1
positive regulation of apoptotic process	3/374	0.08011191095280401075484633111045695841312408447265625	0.448960140115877759381390887938323430716991424560546875	0.0207039927772372060743588662035108427517116069793701171875	0.224703672230263495901425585543620400130748748779296875	-4.550807129996219	11.487742306983344	ABR;TNFRSF9;FYN
dendrite extension	1/12	0.031931816265163885659728038035609642975032329559326171875	0.422098820937072016779012528786552138626575469970703125	0.0203906872864292633418248357202173792757093906402587890625	0.224703672230263495901425585543620400130748748779296875	-3.2571770698370237	11.218214193497325	ALCAM
neuron projection extension involved in neuron projection guidance	1/7	0.018750387031592048725503474315701168961822986602783203125	0.422098820937072016779012528786552138626575469970703125	0.01259542695952913481105550630445577553473412990570068359375	0.224703672230263495901425585543620400130748748779296875	-2.753083458405517	10.947748932425096	ALCAM
negative regulation of beta-catenin-TCF complex assembly	1/13	0.034547169573155490918114907117342227138578891754150390625	0.422098820937072016779012528786552138626575469970703125	0.0219426899699146742139799215465245652012526988983154296875	0.224703672230263495901425585543620400130748748779296875	-3.2389158415351242	10.900343422353725	DACT1
ribosomal large subunit export from nucleus	1/8	0.021400688590911327857657653339629177935421466827392578125	0.422098820937072016779012528786552138626575469970703125	0.01415918985822904423155232933595470967702567577362060546875	0.224703672230263495901425585543620400130748748779296875	-2.65326464359532	10.200030652296318	ZNF593
