Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of transcription from RNA polymerase II promoter	74/1175	0.00000013309055801643619306733772912620938910777113051153719425201416015625	0.0000225886420673032973518122579204003841368830762803554534912109375	0.000000000000004213790943066692837152177518410975172157288855256940252047570538707077503204345703125	0.000000000019876451878445589802035624697265918554844876808829212677665054798126220703125	-7.7627581192958415	122.90181896766792	BARHL1;BARHL2;ONECUT2;LDB1;THRA;MYT1L;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MECOM;ZIC1;MYB;EOMES;DDX17;LMO1;MEF2C;ZBTB38;TET1;PAX3;MITF;EBF3;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;CASZ1;TNKS;GATA3;RAI1;CUX1;ERBB4;NKX2-1;OTX2;TBL1X;NKX6-1;ATF7IP;STAT5B;TCF7L2;FZD2;JUND;POU2F1;FZD5;NFYA;USP21;ATAD2;STAT3;NFATC3;GDF2;DEK;NR2F2;ELP4;TBX19;ACVR2A;PHOX2B;POU4F3;MLLT10;NFIB;ID2;FEV;CTNNB1;SP8;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of transcription from RNA polymerase II promoter involved in neuron differentiation	56/770	0.00000005067728099913026061622362754104098581109383303555659949779510498046875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.000000000000077927649135290253700670850724831365005196119610797467203155974857509136199951171875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.747581077092922	113.3444373453051	ONECUT2;LDB1;MYT1L;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;DDX17;LMO1;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;WNT8B;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;FZD2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;FZD8;ACVR2A;PHOX2B;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of sodium ion transport by positive regulation of transcription from RNA polymerase II promoter	54/731	0.00000005323353722764103770628832325469137476403602704522199928760528564453125	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000013040172489604044235283677365641163614835319750628883639365085400640964508056640625	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.6695923908765735	111.70618331925311	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ANK3;ZEB2;TFDP2;TAL1;CNKSR3;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of DNA repair by positive regulation of transcription from RNA polymerase II promoter	53/739	0.000000183051618162069015253960312279712940863873882335610687732696533203125	0.0000225886420673032973518122579204003841368830762803554534912109375	0.000000000000681400010919061163484713880629868828814506287461227884705294854938983917236328125	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.619438621496543	102.69064554801456	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;EYA1;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of filamentous growth of a population of unicellular organisms in response to starvation by positive regulation of transcription from RNA polymerase II promoter	52/720	0.000000193098901961551390483374959598783515701825308497063815593719482421875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000090604863028257731537672893436684412311714342802559940537321381270885467529296875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.493153710406819	100.38456759963843	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter	52/720	0.000000193098901961551390483374959598783515701825308497063815593719482421875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000090604863028257731537672893436684412311714342802559940537321381270885467529296875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.483969825820547	100.24258416228344	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of snRNA transcription from RNA polymerase II promoter	52/720	0.000000193098901961551390483374959598783515701825308497063815593719482421875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000090604863028257731537672893436684412311714342802559940537321381270885467529296875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.478395531341425	100.1564052165944	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of sulfate assimilation by positive regulation of transcription from RNA polymerase II promoter	52/720	0.000000193098901961551390483374959598783515701825308497063815593719482421875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000090604863028257731537672893436684412311714342802559940537321381270885467529296875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.473649907089437	100.08303756509977	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of purine nucleotide biosynthetic process by positive regulation of transcription from RNA polymerase II promoter	52/720	0.000000193098901961551390483374959598783515701825308497063815593719482421875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000090604863028257731537672893436684412311714342802559940537321381270885467529296875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.470318297950341	100.03153067680554	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
positive regulation of transcription from RNA polymerase II promoter involved in stress response to cadmium ion	52/720	0.000000193098901961551390483374959598783515701825308497063815593719482421875	0.0000225886420673032973518122579204003841368830762803554534912109375	0.00000000000090604863028257731537672893436684412311714342802559940537321381270885467529296875	0.00000000010698712498678202689638119302667127429040672126347999437712132930755615234375	-6.46383954299561	99.93136871488059	ONECUT2;LDB1;CITED2;ONECUT1;SIX1;ARRB1;BRCA1;AATF;HOXC10;MYB;EOMES;LMO1;DDX17;MEF2C;ZBTB38;TET1;PAX3;MITF;ZEB2;TFDP2;TAL1;HOXB3;PHIP;HOXB7;DLX1;ZNF593;TNKS;GATA3;NKX2-1;OTX2;TBL1X;NKX6-1;STAT5B;TCF7L2;JUND;POU2F1;FZD5;ATAD2;STAT3;NFATC3;GDF2;PHOX2B;ACVR2A;POU4F3;MLLT10;NFIB;CTNNB1;SP7;OGT;NEUROG1;SSBP3;FGFR2
