Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP:0003795_abnormal_bone_structure	3/173	0.01142385212885168276064629111488102353177964687347412109375	0.1525900248639474876544142034617834724485874176025390625	0.00237492955106278179344680978601900278590619564056396484375	0.092407700791057367784020470935502089560031890869140625	-3.0719464334538267	13.73790363059576	ERRFI1;SLC44A1;TNFRSF9
MP:0000940_abnormal_motor_neuron_innervation_pattern	2/25	0.00206279653104862563395283103773181210272014141082763671875	0.1525900248639474876544142034617834724485874176025390625	0.00079699785878779047347542086043858944321982562541961669921875	0.092407700791057367784020470935502089560031890869140625	-1.9774456354346943	12.227916095912946	ALCAM;GAN
MP:0008688_decreased_interleukin-2_secretion	2/46	0.006863516607407096035975424541675238288007676601409912109375	0.1525900248639474876544142034617834724485874176025390625	0.00251362424042858752237794561779082869179546833038330078125	0.092407700791057367784020470935502089560031890869140625	-2.3924744981589945	11.918196271253118	TNFRSF9;FYN
MP:0003675_kidney_cysts	2/72	0.0162098303399228760302008822691277600824832916259765625	0.158647720559028260201017701547243632376194000244140625	0.005880576873261445132456959328237644513137638568878173828125	0.092407700791057367784020470935502089560031890869140625	-2.3703248490259248	9.770804733246942	TNS1;DACT1
MP:0000746_weakness	2/79	0.0193065877926940389353038796116379671730101108551025390625	0.158647720559028260201017701547243632376194000244140625	0.007010085246290639025834590114527600235305726528167724609375	0.092407700791057367784020470935502089560031890869140625	-2.2350330318230553	8.8223657892704	GAN;TNS1
MP:0010123_increased_bone_mineral_content	2/94	0.0266972833761219448256429842558645759709179401397705078125	0.158647720559028260201017701547243632376194000244140625	0.00973469721695777688574846564506515278480947017669677734375	0.095809914714268640256733533533406443893909454345703125	-2.1238657704839854	7.695176580080624	SLC44A1;TNFRSF9
MP:0002064_seizures	2/110	0.035632108360851268147317938428386696614325046539306640625	0.158647720559028260201017701547243632376194000244140625	0.0130816440578421615270610089964975486509501934051513671875	0.09792153101350707655736727019757381640374660491943359375	-2.086322330545849	6.956858767500283	SLC10A4;GAN
MP:0008567_decreased_interferon-gamma_secretion	2/110	0.035632108360851268147317938428386696614325046539306640625	0.158647720559028260201017701547243632376194000244140625	0.0130816440578421615270610089964975486509501934051513671875	0.09792153101350707655736727019757381640374660491943359375	-1.970310420125555	6.570016109333115	TNFRSF9;FYN
MP:0002135_abnormal_kidney_morphology	2/167	0.074815399280954431038281882138107903301715850830078125	0.1774870407174967412711197312091826461255550384521484375	0.02839417335145509591054491238537593744695186614990234375	0.102624519924203350118574462612741626799106597900390625	-1.3668288365098737	3.543820237550146	TNS1;DACT1
MP:0010116_abnormal_primitive_urogenital_sinus_morphology	1/4	0.0107571422291307394747406078749918378889560699462890625	0.1525900248639474876544142034617834724485874176025390625	0.0079065412441546405186709733925454202108085155487060546875	0.092407700791057367784020470935502089560031890869140625	-0.5052467333920878	2.289871844029709	DACT1
MP:0009709_hydrometra	1/10	0.0266802316593241252429269394497168832458555698394775390625	0.158647720559028260201017701547243632376194000244140625	0.017318208260723409741554945640018559060990810394287109375	0.09792153101350707655736727019757381640374660491943359375	-0.40768720224351745	1.4773900823995958	DACT1
MP:0003605_fused_kidneys	1/3	0.0080785525325992313394607435839134268462657928466796875	0.1525900248639474876544142034617834724485874176025390625	0.00632986459841600700160224590717916726134717464447021484375	0.092407700791057367784020470935502089560031890869140625	-0.2849528442061029	1.373057408683021	DACT1
MP:0001406_abnormal_gait	2/302	0.1961384459695296456072099999801139347255229949951171875	0.264413568621616412723795974670792929828166961669921875	0.08169407943458249776735868863397627137601375579833984375	0.126293030985376086849925059141241945326328277587890625	-0.7594616108008656	1.2371132284614277	ERRFI1;GAN
MP:0009641_kidney_degeneration	1/13	0.034547169573155490918114907117342227138578891754150390625	0.158647720559028260201017701547243632376194000244140625	0.0219930711367235139086506734429349307902157306671142578125	0.09792153101350707655736727019757381640374660491943359375	-0.3526041437184336	1.1866644416590393	TNS1
MP:0004904_increased_uterus_weight	1/9	0.0240439640426662291916581892792237340472638607025146484375	0.158647720559028260201017701547243632376194000244140625	0.01575534267609413063837564550340175628662109375	0.09792153101350707655736727019757381640374660491943359375	-0.31102105390203083	1.1594464572051235	ERRFI1
MP:0009336_increased_splenocyte_proliferation	1/12	0.031931816265163885659728038035609642975032329559326171875	0.158647720559028260201017701547243632376194000244140625	0.02043706941468866056244024775878642685711383819580078125	0.09792153101350707655736727019757381640374660491943359375	-0.32498792757019795	1.1193079478376948	TNFRSF9
MP:0003445_sirenomelia	1/4	0.0107571422291307394747406078749918378889560699462890625	0.1525900248639474876544142034617834724485874176025390625	0.0079065412441546405186709733925454202108085155487060546875	0.092407700791057367784020470935502089560031890869140625	-0.2097589157906442	0.9506662855164869	DACT1
MP:0010810_increased_type_II_pneumocyte_number	1/12	0.031931816265163885659728038035609642975032329559326171875	0.158647720559028260201017701547243632376194000244140625	0.02043706941468866056244024775878642685711383819580078125	0.09792153101350707655736727019757381640374660491943359375	-0.26365662321462474	0.9080735892887376	ERRFI1
MP:0010887_pale_lung	1/4	0.0107571422291307394747406078749918378889560699462890625	0.1525900248639474876544142034617834724485874176025390625	0.0079065412441546405186709733925454202108085155487060546875	0.092407700791057367784020470935502089560031890869140625	-0.1341046566311709	0.6077871603668229	ERRFI1
MP:0008698_abnormal_interleukin-4_secretion	1/3	0.0080785525325992313394607435839134268462657928466796875	0.1525900248639474876544142034617834724485874176025390625	0.00632986459841600700160224590717916726134717464447021484375	0.092407700791057367784020470935502089560031890869140625	-0.08233869695926187	0.3967525160038367	FYN
MP:0011405_tubulointerstitial_nephritis	1/17	0.0449394110751306918860592531927977688610553741455078125	0.1672791145079974561848956682297284714877605438232421875	0.0281942906237425995608081308319015079177916049957275390625	0.102624519924203350118574462612741626799106597900390625	-0.03523839888093572	0.10932502234717077	TNS1
MP:0008999_absent_anus	1/4	0.0107571422291307394747406078749918378889560699462890625	0.1525900248639474876544142034617834724485874176025390625	0.0079065412441546405186709733925454202108085155487060546875	0.092407700791057367784020470935502089560031890869140625	-0.01776953111890323	0.08053480864211648	DACT1
