Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP:0005010_abnormal_CD8-positive,_alpha_beta_T_cell_morphology	2/28	0.000429110167291214101258078894574055084376595914363861083984375	0.0559587026508241713873559319836203940212726593017578125	0.00019281109778953694675572572148070094044669531285762786865234375	0.03845696011381109780113973783954861573874950408935546875	-2.3019108919429994	17.848549473089644	IL23A;FOXN1
MP:0002460_decreased_immunoglobulin_level	2/48	0.001263579376463011723352725113045380567200481891632080078125	0.0559587026508241713873559319836203940212726593017578125	0.000539441291346458122457629968948822352103888988494873046875	0.03845696011381109780113973783954861573874950408935546875	-2.488196769323832	16.605744544788088	IL23A;FOXN1
MP:0004502_decreased_incidence_of_tumors_by_chemical_induction	2/63	0.002166015493233363307934435937340822420082986354827880859375	0.0559587026508241713873559319836203940212726593017578125	0.00091147244370620001362170992109668077318929135799407958984375	0.03845696011381109780113973783954861573874950408935546875	-2.5553437178084355	15.67669123521393	IL23A;FOXN1
MP:0008567_decreased_interferon-gamma_secretion	2/110	0.006444486990315921419447686702142163994722068309783935546875	0.0559587026508241713873559319836203940212726593017578125	0.0026823372650902495804847713856133850640617311000823974609375	0.03845696011381109780113973783954861573874950408935546875	-2.7596428155845563	13.921101645434574	IL23A;FOXN1
MP:0000913_abnormal_brain_development	2/93	0.00465094432831365985070437574222523835487663745880126953125	0.0559587026508241713873559319836203940212726593017578125	0.001937497062002378755973808210910647176206111907958984375	0.03845696011381109780113973783954861573874950408935546875	-2.441411157753242	13.112050280465764	NDST1;FBXW7
MP:0000221_decreased_leukocyte_cell_number	2/124	0.0081219951576205519361284501655973144806921482086181640625	0.0559587026508241713873559319836203940212726593017578125	0.0033826786506603264727266466849187054322101175785064697265625	0.03845696011381109780113973783954861573874950408935546875	-2.293635599075224	11.039679721907323	IL23A;FOXN1
MP:0002085_abnormal_embryonic_tissue_morphology	2/149	0.01155017582822902809380760658086728653870522975921630859375	0.0642985356908720717683536349795758724212646484375	0.004824889950817337798405493032305457745678722858428955078125	0.03845696011381109780113973783954861573874950408935546875	-2.3604929119168405	10.530287807603653	FOXN1;BMPR1A
MP:0001823_thymus_hypoplasia	2/132	0.00915962491614564881803328688647525268606841564178466796875	0.056789674480103025100419245063676498830318450927734375	0.0038176630636977408779497711321937458706088364124298095703125	0.03845696011381109780113973783954861573874950408935546875	-2.167404482259229	10.171520971554019	NDST1;FOXN1
MP:0005018_decreased_T_cell_number	2/153	0.01214857125956569049163302764782201847992837429046630859375	0.0642985356908720717683536349795758724212646484375	0.00507810240024647412127034584727880428545176982879638671875	0.03845696011381109780113973783954861573874950408935546875	-2.011512572166546	8.871864118561742	IL23A;FOXN1
MP:0010681_abnormal_hair_follicle_bulb_morphology	1/3	0.0032965359819268724543561699391602815012447535991668701171875	0.0559587026508241713873559319836203940212726593017578125	0.0029277199574574935651838369921051707933656871318817138671875	0.03845696011381109780113973783954861573874950408935546875	-0.6546536707079772	3.7412691756974725	FOXN1
MP:0001698_decreased_embryo_size	2/472	0.09418483418859906197706521879808860830962657928466796875	0.12312113866822889385321815325369243510067462921142578125	0.0429193133699441731199186733647366054356098175048828125	0.0680107360328937315951947084613493643701076507568359375	-0.28041257822847315	0.6624736242043071	FBXW7;BMPR1A
MP:0013587_absent_thymus_medulla	1/3	0.0032965359819268724543561699391602815012447535991668701171875	0.0559587026508241713873559319836203940212726593017578125	0.0029277199574574935651838369921051707933656871318817138671875	0.03845696011381109780113973783954861573874950408935546875	0	-0	FOXN1
MP:0001262_decreased_body_weight	1/1189	0.74053173970235575129805738470167852938175201416015625	0.74053173970235575129805738470167852938175201416015625	0.6102828266684581226542150034219957888126373291015625	0.6102828266684581226542150034219957888126373291015625	0.7234750601777362	-0.21732234638816475	FOXN1
MP:0014091_abnormal_tectorial_membrane_striated-sheet_matrix_morphology	1/6	0.006582697220629774199907036091872214456088840961456298828125	0.0559587026508241713873559319836203940212726593017578125	0.005118819309582161268534772347038597217760980129241943359375	0.03845696011381109780113973783954861573874950408935546875	0.06593050423512806	-0.33118940775559813	TECTB
MP:0001265_decreased_body_size	1/774	0.580536047229288865167973199277184903621673583984375	0.5859363825523520308280467361328192055225372314453125	0.449344035434664668127169306899304501712322235107421875	0.45352397995033599809033830752014182507991790771484375	0.8078704015346477	-0.4393226573062499	FOXN1
MP:0010890_decreased_alveolar_lamellar_body_number	1/6	0.006582697220629774199907036091872214456088840961456298828125	0.0559587026508241713873559319836203940212726593017578125	0.005118819309582161268534772347038597217760980129241943359375	0.03845696011381109780113973783954861573874950408935546875	0.09057786026465378	-0.45500073516557027	NDST1
MP:0001732_postnatal_growth_retardation	1/590	0.482691886487096211144631752176792360842227935791015625	0.4894585951761676323457095350022427737712860107421875	0.36206950110378510743203150923363864421844482421875	0.36714524177346430366952745316666550934314727783203125	0.8263930115328325	-0.6019254518809827	FOXN1
MP:0009801_abnormal_hair_cortex_keratinization	1/3	0.0032965359819268724543561699391602815012447535991668701171875	0.0559587026508241713873559319836203940212726593017578125	0.0029277199574574935651838369921051707933656871318817138671875	0.03845696011381109780113973783954861573874950408935546875	0.14878573841325998	-0.8502930966642696	FOXN1
