Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP:0011087_neonatal_lethality,_complete_penetrance	40/462	0.00000004946125920156642057539923980867546671191803397960029542446136474609375	0.000060639503781120430579883173738409141151350922882556915283203125	0.00000003891768832373529557656870029626328122418499333434738218784332275390625	0.00009542617176979895023299083067769288390991277992725372314453125	-4.48173760951834	75.3921312001036	TOP2B;ROBO3;DLX2;PKDCC;DBX1;CACNA1C;PDS5B;PDS5A;CNN3;GBX2;SALL3;DPH1;NKX2-1;SFN;OTX2;MSX1;NKX6-1;TCF7L2;EMX2;GRID2;GABBR1;PRRX1;DSCAM;EYA1;LMO4;FST;MAGI2;EBF3;LBX1;MYT1;PHOX2B;ACVR2A;CYLD;DLG1;NBEA;NFIB;SP7;NEUROG1;STK40;FGFR2
MP:0001265_decreased_body_size	52/774	0.00000172040240928867118770369086522276091955063748173415660858154296875	0.000703071117929303574835275814081114731379784643650054931640625	0.0000006824763193504733238566972546024214096860305289737880229949951171875	0.000557810645015786930704659862811922721448354423046112060546875	-4.950113262006416	65.70261738250319	ALK;TOP2B;SIX1;NR2E1;VLDLR;MECOM;AP1G1;MYB;SOX6;PDGFRA;GRID2;MBNL2;TET1;PAX3;MITF;OVOL1;FOXP2;ENAH;TAL1;PHIP;PAPPA2;GRIA1;MEG3;DLX1;SEMA3A;COL11A2;LPAR1;GATA3;PRICKLE1;LTBP3;MLLT3;CUX1;DPH1;PLXNA2;OTX2;CACNG2;FZD2;ICMT;CADM1;PRRX1;BDNF;STAT3;NR2F2;POU4F3;SLC6A5;DLG1;LIN28A;NBEA;ID2;CTNNB1;LHX9;FGFR2
MP:0009890_cleft_secondary_palate	15/96	0.000000705473424425631736274576281953141432268239441327750682830810546875	0.00043245520917291227318279833724545824225060641765594482421875	0.000001801799718133410319908008744016481017524711205624043941497802734375	0.00110450322721578043060064455715973963378928601741790771484375	-3.400840024162336	48.17084733619427	PDGFRA;DLX2;PKDCC;PRRX1;EYA1;PTCH1;FST;SHOX2;PDS5B;PDS5A;DLG1;DPH1;SFN;MSX1;FGFR2
MP:0011089_perinatal_lethality,_complete_penetrance	22/217	0.0000043231437719397760858944072814846748542549903504550457000732421875	0.00136106046660547613628977625666038875351659953594207763671875	0.0000057700516801821070890683718079827713154372759163379669189453125	0.00235802778663442118289861326729806023649871349334716796875	-3.678348313640631	45.43322106920728	MEG3;ROBO2;ROBO3;CITED2;LMO4;STAT3;PAX3;UNCX;SHROOM3;SIX1;LBX1;ROBO1;CACNB1;VANGL2;MECOM;SIX3;HESX1;CTNNB1;SFN;SP8;NEO1;FGFR2
MP:0003148_decreased_cochlear_coiling	8/15	0.00000000814138869649753504396743307436334902149610570631921291351318359375	0.000019962685083811955292533435457613677499466575682163238525390625	0.0000002823994276160452363263271731430581468202944961376488208770751953125	0.0003462216982572714654535495082399165767128579318523406982421875	-2.4160868569629654	45.00277087328262	VANGL2;EYA1;GBX2;LMO4;SIX1;PAX3;GATA3;POU3F4
MP:0011088_neonatal_lethality,_incomplete_penetrance	23/255	0.00001823862606123930263433800813555052400261047296226024627685546875	0.003960324328764960009896523018824154860340058803558349609375	0.00002052294746905737439176577174837490247227833606302738189697265625	0.00559136302156985377787012936323662870563566684722900390625	-3.6261474212289433	39.568407893593616	MEG3;ALK;PDGFRA;GRID2;FZD2;DSCAM;LMO4;LPAR1;PAX3;ATP2A2;MLLT3;HAPLN1;ROBO1;VANGL2;LIN28A;CUX1;NFIB;ID2;ZIC1;HESX1;HOXB3;OTX2;SOX6
MP:0004620_cervical_vertebral_fusion	9/31	0.0000005373838854162862229400278446522776221172534860670566558837890625	0.00043245520917291227318279833724545824225060641765594482421875	0.0000030799368898990418561109790041019351747308974154293537139892578125	0.0015104010508064902827685127562062916695140302181243896484375	-2.4102562581297877	34.79579252117349	EYA1;LMO4;SEMA3A;MSGN1;SIX1;TBX6;MLLT3;PDS5A;FGFR2
MP:0001575_cyanosis	19/192	0.00002697219833214058222633190131656277799265808425843715667724609375	0.003960324328764960009896523018824154860340058803558349609375	0.0000346297541756480017362783418999327977871871553361415863037109375	0.0077192870216989915854721715504638268612325191497802734375	-3.027156441616207	31.847816623173703	ROBO3;DLX2;PKDCC;PRRX1;FST;DBX1;PAX3;PDS5B;PHOX2B;LMF1;CYLD;DLG1;GBX2;NBEA;CUX1;NFIB;MSX1;SP7;STK40
MP:0001953_respiratory_failure	16/147	0.000036215195662558845941976504168025030594435520470142364501953125	0.00486930069292410526438086293410378857515752315521240234375	0.00005166480927793395809023702103246478145592845976352691650390625	0.00974477787303800434270950603377059451304376125335693359375	-2.7962730660170685	28.59477717580863	MEG3;PDGFRA;TOP2B;PKDCC;FST;DBX1;UNCX;PHOX2B;ROBO1;CUX1;DPH1;NFIB;NKX2-1;SFN;SOX6;FGFR2
MP:0005107_abnormal_stapes_morphology	7/19	0.000001659562008968572643292948599891278860241072834469377994537353515625	0.000703071117929303574835275814081114731379784643650054931640625	0.000011142271251916335521726757196159240947963553480803966522216796875	0.003902978444242693502330698862579083652235567569732666015625	-2.1100999960210376	28.083229776034017	DLX1;DLX2;EMX2;EYA1;PRRX1;SIX1;POU3F4
