TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044464	cell part	0.000182630373375854	-8.60804626532364	15033	49	0.924528301886792	53	20989	16493,20646,208884,21990,94218,14854,99890,20539,14605,72514,52906,192156,17125,17252,216987,22184,217944,11421,11682,71738,16911,69386,12798,12953,66066,18997,109594,17988,22343,20226,14683,20527,77963,108699,233919,66521,74868,12336,65098,14711,216363,22722,15500,75751,226255,22234,56471,74996,101685	Kcna5,Snrpn,Zdhhc9,Tph1,Cnnm3,Gss,Prmt6,Slc7a5,Tsc22d3,Fgfbp3,Ahi1,Mvd,Smad1,Rdh11,Utp6,Zrsr2,Rapgef5,Ace,Alk,Mamdc2,Lmo4,Hist1h4h,Cnn2,Cry2,Gng11,Pou4f2,Lmo1,Ndrg1,Lin7c,Sars,Gnas,Slc2a3,Hook1,Chn1,Gpr26,Rwdd1,Tmem65,Capns1,Zfand6,Gnmt,Rab3ip,Zfp64,Hsf2,Ipo4,Atrnl1,Ugcg,Stmn4,Usp47,Spty2d1
GO:0005623	cell	0.000186533147723043	-8.58690159889315	15041	49	0.924528301886792	53	20989	22234,74996,56471,101685,216363,22722,75751,15500,226255,74868,12336,65098,14711,20226,22343,14683,20527,77963,108699,233919,66521,12953,69386,12798,66066,109594,18997,17988,217944,22184,11421,11682,71738,16911,72514,14605,52906,192156,17125,17252,216987,16493,20646,21990,208884,14854,94218,99890,20539	Ugcg,Usp47,Stmn4,Spty2d1,Rab3ip,Zfp64,Ipo4,Hsf2,Atrnl1,Tmem65,Capns1,Zfand6,Gnmt,Sars,Lin7c,Gnas,Slc2a3,Hook1,Chn1,Gpr26,Rwdd1,Cry2,Hist1h4h,Cnn2,Gng11,Lmo1,Pou4f2,Ndrg1,Rapgef5,Zrsr2,Ace,Alk,Mamdc2,Lmo4,Fgfbp3,Tsc22d3,Ahi1,Mvd,Smad1,Rdh11,Utp6,Kcna5,Snrpn,Tph1,Zdhhc9,Gss,Cnnm3,Prmt6,Slc7a5
GO:0005622	intracellular	0.000196708858588214	-8.5337857975477	12941	45	0.849056603773585	53	20989	101685,22234,74996,56471,75751,15500,22722,216363,14711,74868,12336,65098,108699,66521,20226,22343,14683,20527,77963,66066,109594,18997,17988,12953,69386,12798,71738,16911,11421,217944,22184,17125,17252,216987,72514,14605,52906,192156,208884,21990,14854,20539,99890,16493,20646	Spty2d1,Ugcg,Usp47,Stmn4,Ipo4,Hsf2,Zfp64,Rab3ip,Gnmt,Tmem65,Capns1,Zfand6,Chn1,Rwdd1,Sars,Lin7c,Gnas,Slc2a3,Hook1,Gng11,Lmo1,Pou4f2,Ndrg1,Cry2,Hist1h4h,Cnn2,Mamdc2,Lmo4,Ace,Rapgef5,Zrsr2,Smad1,Rdh11,Utp6,Fgfbp3,Tsc22d3,Ahi1,Mvd,Zdhhc9,Tph1,Gss,Slc7a5,Prmt6,Kcna5,Snrpn
GO:0044424	intracellular part	0.000501113580745608	-7.59867777449873	12834	44	0.830188679245283	53	20989	75751,15500,22722,216363,101685,22234,74996,56471,108699,66521,20527,14683,20226,22343,77963,14711,74868,65098,12336,71738,16911,11421,22184,217944,66066,17988,109594,18997,12953,69386,12798,14854,208884,21990,99890,20539,20646,16493,17252,17125,216987,14605,192156,52906	Ipo4,Hsf2,Zfp64,Rab3ip,Spty2d1,Ugcg,Usp47,Stmn4,Chn1,Rwdd1,Slc2a3,Gnas,Sars,Lin7c,Hook1,Gnmt,Tmem65,Zfand6,Capns1,Mamdc2,Lmo4,Ace,Zrsr2,Rapgef5,Gng11,Ndrg1,Lmo1,Pou4f2,Cry2,Hist1h4h,Cnn2,Gss,Zdhhc9,Tph1,Prmt6,Slc7a5,Snrpn,Kcna5,Rdh11,Smad1,Utp6,Tsc22d3,Mvd,Ahi1
GO:1905360	GTPase complex	0.00352905968117973	-5.64672382279139	35	2	0.0377358490566038	53	20989	66066,14683	Gng11,Gnas
GO:0005834	heterotrimeric G-protein complex	0.00352905968117973	-5.64672382279139	35	2	0.0377358490566038	53	20989	14683,66066	Gnas,Gng11
GO:0005911	cell-cell junction	0.00605266098519707	-5.10725727137327	657	6	0.113207547169811	53	20989	52906,16493,74868,22343,12798,17988	Ahi1,Kcna5,Tmem65,Lin7c,Cnn2,Ndrg1
GO:0097025	MPP7-DLG1-LIN7 complex	0.00755664298964074	-4.88532823639896	3	1	0.0188679245283019	53	20989	22343	Lin7c
GO:0046691	intracellular canaliculus	0.00755664298964074	-4.88532823639896	3	1	0.0188679245283019	53	20989	16493	Kcna5
GO:0014704	intercalated disc	0.00913687690371072	-4.69543664734373	57	2	0.0377358490566038	53	20989	16493,74868	Kcna5,Tmem65
GO:0097458	neuron part	0.0109391802810091	-4.51540441340536	1476	9	0.169811320754717	53	20989	21990,20527,14683,22343,11682,216363,17252,56471,52906	Tph1,Slc2a3,Gnas,Lin7c,Alk,Rab3ip,Rdh11,Stmn4,Ahi1
GO:0070695	FHF complex	0.012563250078185	-4.37697938722906	5	1	0.0188679245283019	53	20989	77963	Hook1
GO:0089701	U2AF	0.012563250078185	-4.37697938722906	5	1	0.0188679245283019	53	20989	22184	Zrsr2
GO:0001750	photoreceptor outer segment	0.0128130356272964	-4.35729221790004	68	2	0.0377358490566038	53	20989	52906,17252	Ahi1,Rdh11
GO:0044291	cell-cell contact zone	0.0150469112218582	-4.19658254327874	74	2	0.0377358490566038	53	20989	16493,74868	Kcna5,Tmem65
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	0.0150572525444852	-4.19589550721862	6	1	0.0188679245283019	53	20989	216987	Utp6
GO:0098797	plasma membrane protein complex	0.0162296675595657	-4.12091438074824	211	3	0.0566037735849057	53	20989	66066,22343,14683	Gng11,Lin7c,Gnas
GO:1990635	proximal dendrite	0.0175450743824657	-4.04298203043097	7	1	0.0188679245283019	53	20989	216363	Rab3ip
GO:0005687	U4 snRNP	0.0249716061745708	-3.69001585258733	10	1	0.0188679245283019	53	20989	20646	Snrpn
GO:0042622	photoreceptor outer segment membrane	0.0249716061745708	-3.69001585258733	10	1	0.0188679245283019	53	20989	17252	Rdh11
GO:0097731	9+0 non-motile cilium	0.0250017572989683	-3.68880916462557	97	2	0.0377358490566038	53	20989	17252,52906	Rdh11,Ahi1
GO:0097733	photoreceptor cell cilium	0.0250017572989683	-3.68880916462557	97	2	0.0377358490566038	53	20989	17252,52906	Rdh11,Ahi1
GO:0070062	extracellular exosome	0.025456643814953	-3.67077851642144	2587	12	0.226415094339623	53	20989	11421,20527,14683,20226,22343,11682,14854,20539,12798,69386,12336,17988	Ace,Slc2a3,Gnas,Sars,Lin7c,Alk,Gss,Slc7a5,Cnn2,Hist1h4h,Capns1,Ndrg1
GO:0043227	membrane-bounded organelle	0.0260161838526085	-3.6490364787364	11296	36	0.679245283018868	53	20989	101685,22234,74996,56471,75751,15500,216363,22722,74868,12336,22343,20226,14683,20527,18997,109594,17988,12798,69386,12953,71738,22184,11421,217944,11682,17125,17252,216987,14605,192156,208884,14854,99890,20539,16493,20646	Spty2d1,Ugcg,Usp47,Stmn4,Ipo4,Hsf2,Rab3ip,Zfp64,Tmem65,Capns1,Lin7c,Sars,Gnas,Slc2a3,Pou4f2,Lmo1,Ndrg1,Cnn2,Hist1h4h,Cry2,Mamdc2,Zrsr2,Ace,Rapgef5,Alk,Smad1,Rdh11,Utp6,Tsc22d3,Mvd,Zdhhc9,Gss,Prmt6,Slc7a5,Kcna5,Snrpn
GO:1903561	extracellular vesicle	0.0265066982905801	-3.63035781224755	2602	12	0.226415094339623	53	20989	20539,14854,11682,11421,20527,14683,20226,22343,17988,12336,12798,69386	Slc7a5,Gss,Alk,Ace,Slc2a3,Gnas,Sars,Lin7c,Ndrg1,Capns1,Cnn2,Hist1h4h
GO:0043230	extracellular organelle	0.0270076574453549	-3.61163484410004	2609	12	0.226415094339623	53	20989	12798,69386,12336,17988,20527,11421,14683,22343,20226,11682,14854,20539	Cnn2,Hist1h4h,Capns1,Ndrg1,Slc2a3,Ace,Gnas,Lin7c,Sars,Alk,Gss,Slc7a5
GO:0030897	HOPS complex	0.0274348553708775	-3.5959409801863	11	1	0.0188679245283019	53	20989	77963	Hook1
GO:0002178	palmitoyltransferase complex	0.0274348553708775	-3.5959409801863	11	1	0.0188679245283019	53	20989	208884	Zdhhc9
GO:0043226	organelle	0.027786799319107	-3.5831942156964	12170	38	0.716981132075472	53	20989	71738,11682,217944,22184,11421,18997,109594,17988,12798,69386,12953,20539,99890,208884,14854,16493,20646,216987,17125,17252,52906,192156,14605,15500,75751,216363,22722,101685,74996,56471,22234,77963,22343,20226,14683,20527,12336,74868	Mamdc2,Alk,Rapgef5,Zrsr2,Ace,Pou4f2,Lmo1,Ndrg1,Cnn2,Hist1h4h,Cry2,Slc7a5,Prmt6,Zdhhc9,Gss,Kcna5,Snrpn,Utp6,Smad1,Rdh11,Ahi1,Mvd,Tsc22d3,Hsf2,Ipo4,Rab3ip,Zfp64,Spty2d1,Usp47,Stmn4,Ugcg,Hook1,Lin7c,Sars,Gnas,Slc2a3,Capns1,Tmem65
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	0.0289475921788921	-3.54226825013566	105	2	0.0377358490566038	53	20989	14683,66066	Gnas,Gng11
GO:0036038	MKS complex	0.0323430509928433	-3.43135608813141	13	1	0.0188679245283019	53	20989	52906	Ahi1
GO:0005813	centrosome	0.0343272134692728	-3.37181684377654	487	4	0.0754716981132075	53	20989	216363,52906,77963,17988	Rab3ip,Ahi1,Hook1,Ndrg1
GO:0071004	U2-type prespliceosome	0.0372269417139659	-3.29072254021525	15	1	0.0188679245283019	53	20989	20646	Snrpn
GO:0044421	extracellular region part	0.0378436312859523	-3.27429257518623	3712	15	0.283018867924528	53	20989	11421,14683,20527,22343,20226,11682,14854,56839,71738,20539,72514,12798,69386,12336,17988	Ace,Gnas,Slc2a3,Lin7c,Sars,Alk,Gss,Lgi1,Mamdc2,Slc7a5,Fgfbp3,Cnn2,Hist1h4h,Capns1,Ndrg1
GO:0005682	U5 snRNP	0.0396598096500229	-3.22741695544757	16	1	0.0188679245283019	53	20989	20646	Snrpn
GO:0097730	non-motile cilium	0.0415457894920987	-3.18095909874575	128	2	0.0377358490566038	53	20989	17252,52906	Rdh11,Ahi1
GO:0005685	U1 snRNP	0.0420866455881591	-3.16802479554665	17	1	0.0188679245283019	53	20989	20646	Snrpn
GO:0005614	interstitial matrix	0.0420866455881591	-3.16802479554665	17	1	0.0188679245283019	53	20989	71738	Mamdc2
