TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04726	Serotonergic synapse	0.00258753172762453	-5.95705085858195	131	3	0.176470588235294	17	7866	66066,14683,21990	Gng11,Gnas,Tph1
M00066	Lactosylceramide biosynthesis	0.00431800361058923	-5.44496211071821	2	1	0.0588235294117647	17	7866	22234	Ugcg
mmu_M00066	Lactosylceramide biosynthesis	0.00431800361058923	-5.44496211071821	2	1	0.0588235294117647	17	7866	22234	Ugcg
mmu_M00118	Glutathione biosynthesis, glutamate => glutathione	0.00647041891319703	-5.04051442554878	3	1	0.0588235294117647	17	7866	14854	Gss
M00118	Glutathione biosynthesis, glutamate => glutathione	0.00647041891319703	-5.04051442554878	3	1	0.0588235294117647	17	7866	14854	Gss
mmu05034	Alcoholism	0.00789376681241777	-4.84168184202859	195	3	0.176470588235294	17	7866	69386,14683,66066	Hist1h4h,Gnas,Gng11
ko05034	Alcoholism	0.00789376681241777	-4.84168184202859	195	3	0.176470588235294	17	7866	69386,66066,14683	Hist1h4h,Gng11,Gnas
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.0086184543803284	-4.75384951661022	4	1	0.0588235294117647	17	7866	21990	Tph1
mmu_M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.0086184543803284	-4.75384951661022	4	1	0.0588235294117647	17	7866	21990	Tph1
ko04924	Renin secretion	0.0102821192096241	-4.57734889140474	72	2	0.117647058823529	17	7866	11421,14683	Ace,Gnas
mmu04924	Renin secretion	0.0102821192096241	-4.57734889140474	72	2	0.117647058823529	17	7866	11421,14683	Ace,Gnas
ko05032	Morphine addiction	0.0160817092535993	-4.1300727240148	91	2	0.117647058823529	17	7866	14683,66066	Gnas,Gng11
mmu05032	Morphine addiction	0.0160817092535993	-4.1300727240148	91	2	0.117647058823529	17	7866	14683,66066	Gnas,Gng11
mmu04713	Circadian entrainment	0.0181466434821714	-4.0092696674851	97	2	0.117647058823529	17	7866	66066,14683	Gng11,Gnas
ko04713	Circadian entrainment	0.0181466434821714	-4.0092696674851	97	2	0.117647058823529	17	7866	14683,66066	Gnas,Gng11
ko05142	Chagas disease (American trypanosomiasis)	0.0203187609438708	-3.89621063530275	103	2	0.117647058823529	17	7866	14683,11421	Gnas,Ace
mmu05142	Chagas disease (American trypanosomiasis)	0.0203187609438708	-3.89621063530275	103	2	0.117647058823529	17	7866	14683,11421	Gnas,Ace
mmu_M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.0214151575571588	-3.84365631061481	10	1	0.0588235294117647	17	7866	192156	Mvd
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0.0214151575571588	-3.84365631061481	10	1	0.0588235294117647	17	7866	192156	Mvd
mmu04724	Glutamatergic synapse	0.0241696493862842	-3.72265759052487	113	2	0.117647058823529	17	7866	66066,14683	Gng11,Gnas
ko04724	Glutamatergic synapse	0.0241696493862842	-3.72265759052487	113	2	0.117647058823529	17	7866	66066,14683	Gng11,Gnas
ko04728	Dopaminergic synapse	0.0313465907907631	-3.46264976452268	130	2	0.117647058823529	17	7866	66066,14683	Gng11,Gnas
mmu04728	Dopaminergic synapse	0.0313465907907631	-3.46264976452268	130	2	0.117647058823529	17	7866	14683,66066	Gnas,Gng11
mmu_M00695	cAMP signaling	0.0319601546950857	-3.44326531782401	15	1	0.0588235294117647	17	7866	14683	Gnas
M00695	cAMP signaling	0.0319601546950857	-3.44326531782401	15	1	0.0588235294117647	17	7866	14683	Gnas
M00679	BMP signaling	0.042398137699803	-3.16065083988329	20	1	0.0588235294117647	17	7866	17125	Smad1
mmu_M00679	BMP signaling	0.042398137699803	-3.16065083988329	20	1	0.0588235294117647	17	7866	17125	Smad1
ko00900	Terpenoid backbone biosynthesis	0.0465435954585559	-3.06736586885876	22	1	0.0588235294117647	17	7866	192156	Mvd
mmu00900	Terpenoid backbone biosynthesis	0.0465435954585559	-3.06736586885876	22	1	0.0588235294117647	17	7866	192156	Mvd
mmu04710	Circadian rhythm	0.0629571273988098	-2.76530130172694	30	1	0.0588235294117647	17	7866	12953	Cry2
ko04710	Circadian rhythm	0.0629571273988098	-2.76530130172694	30	1	0.0588235294117647	17	7866	12953	Cry2
mmu04614	Renin-angiotensin system	0.0730801445642552	-2.61619856930988	35	1	0.0588235294117647	17	7866	11421	Ace
ko04614	Renin-angiotensin system	0.0730801445642552	-2.61619856930988	35	1	0.0588235294117647	17	7866	11421	Ace
