TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:1990794	basolateral part of cell	0.0016198961361258	-6.42539324529579	1	1	0.0294117647058824	34	20989	223864	Rapgef3
GO:1990795	rod bipolar cell terminal bouton	0.0016198961361258	-6.42539324529579	1	1	0.0294117647058824	34	20989	223864	Rapgef3
GO:0097574	lateral part of cell	0.0016198961361258	-6.42539324529579	1	1	0.0294117647058824	34	20989	223864	Rapgef3
GO:0005607	laminin-2 complex	0.0032372452656693	-5.73303253747085	2	1	0.0294117647058824	34	20989	16782	Lamc2
GO:1990796	photoreceptor cell terminal bouton	0.0032372452656693	-5.73303253747085	2	1	0.0294117647058824	34	20989	223864	Rapgef3
GO:0043679	axon terminus	0.00329761691203718	-5.71455521925159	185	3	0.0882352941176471	34	20989	21823,20296,223864	Th,Ccl2,Rapgef3
GO:0044306	neuron projection terminus	0.00404625608235323	-5.50996324951748	199	3	0.0882352941176471	34	20989	223864,21823,20296	Rapgef3,Th,Ccl2
GO:0005610	laminin-5 complex	0.00646431803379628	-5.04145775820072	4	1	0.0294117647058824	34	20989	16782	Lamc2
GO:0044299	C-fiber	0.00646431803379628	-5.04145775820072	4	1	0.0294117647058824	34	20989	20296	Ccl2
GO:0005615	extracellular space	0.0084002394793228	-4.77949506409607	1476	7	0.205882352941176	34	20989	68024,11568,21810,11576,15945,16782,20296	Hist1h2bc,Aebp1,Tgfbi,Afp,Cxcl10,Lamc2,Ccl2
GO:0045009	chitosome	0.00968124930392846	-4.63756432569803	6	1	0.0294117647058824	34	20989	21823	Th
GO:0033162	melanosome membrane	0.00968124930392846	-4.63756432569803	6	1	0.0294117647058824	34	20989	21823	Th
GO:0005576	extracellular region	0.0112974207452529	-4.48318083194992	4220	13	0.382352941176471	34	20989	99543,223864,11576,21810,16782,234577,15451,20296,11568,68024,230868,56096,15945	Olfml3,Rapgef3,Afp,Tgfbi,Lamc2,Cpne2,Hpn,Ccl2,Aebp1,Hist1h2bc,Igsf21,Plac1,Cxcl10
GO:0005604	basement membrane	0.0118564949218026	-4.43487946688313	102	2	0.0588235294117647	34	20989	21810,16782	Tgfbi,Lamc2
GO:0043256	laminin complex	0.0128880699847344	-4.35145320289763	8	1	0.0294117647058824	34	20989	16782	Lamc2
GO:0043195	terminal bouton	0.0146477300554347	-4.2234699005458	114	2	0.0588235294117647	34	20989	21823,223864	Th,Rapgef3
GO:0098793	presynapse	0.0146947741354663	-4.22026334939159	319	3	0.0882352941176471	34	20989	223864,21823,20296	Rapgef3,Th,Ccl2
GO:0097470	ribbon synapse	0.0160848108927708	-4.12987987510438	10	1	0.0294117647058824	34	20989	223864	Rapgef3
GO:0043204	perikaryon	0.0176939985590166	-4.03452976136004	126	2	0.0588235294117647	34	20989	21823,20296	Th,Ccl2
GO:0030139	endocytic vesicle	0.0179590422996256	-4.01966154160416	127	2	0.0588235294117647	34	20989	234577,20296	Cpne2,Ccl2
GO:0043025	neuronal cell body	0.0179845213319442	-4.01824381703754	627	4	0.117647058823529	34	20989	223864,21823,15451,20296	Rapgef3,Th,Hpn,Ccl2
GO:0044420	extracellular matrix component	0.0182257797870482	-4.00491821533342	128	2	0.0588235294117647	34	20989	21810,16782	Tgfbi,Lamc2
