TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04668	TNF signaling pathway	0.00127102842181792	-6.66792892524835	109	3	0.1875	16	7866	15945,18710,20296	Cxcl10,Pik3r3,Ccl2
ko04668	TNF signaling pathway	0.00127102842181792	-6.66792892524835	109	3	0.1875	16	7866	20296,15945,18710	Ccl2,Cxcl10,Pik3r3
ko00350	Tyrosine metabolism	0.00261315197538179	-5.94719813287136	38	2	0.125	16	7866	21823,71872	Th,Aox4
mmu00350	Tyrosine metabolism	0.00261315197538179	-5.94719813287136	38	2	0.125	16	7866	71872,21823	Aox4,Th
mmu00380	Tryptophan metabolism	0.00349150395112518	-5.65742270403765	44	2	0.125	16	7866	72535,71872	Aldh1b1,Aox4
ko00380	Tryptophan metabolism	0.00349150395112518	-5.65742270403765	44	2	0.125	16	7866	71872,72535	Aox4,Aldh1b1
mmu05164	Influenza A	0.00451466159300284	-5.40042504663808	170	3	0.1875	16	7866	20296,18710,15945	Ccl2,Pik3r3,Cxcl10
ko05164	Influenza A	0.00451466159300284	-5.40042504663808	170	3	0.1875	16	7866	20296,15945,18710	Ccl2,Cxcl10,Pik3r3
ko00280	Valine, leucine and isoleucine degradation	0.0054099016514027	-5.21952436532731	55	2	0.125	16	7866	72535,71872	Aldh1b1,Aox4
mmu00280	Valine, leucine and isoleucine degradation	0.0054099016514027	-5.21952436532731	55	2	0.125	16	7866	71872,72535	Aox4,Aldh1b1
ko04062	Chemokine signaling pathway	0.00625004603509667	-5.07516644964549	191	3	0.1875	16	7866	18710,15945,20296	Pik3r3,Cxcl10,Ccl2
mmu04062	Chemokine signaling pathway	0.00625004603509667	-5.07516644964549	191	3	0.1875	16	7866	20296,15945,18710	Ccl2,Cxcl10,Pik3r3
mmu04917	Prolactin signaling pathway	0.00962104531148644	-4.64380235996994	74	2	0.125	16	7866	21823,18710	Th,Pik3r3
ko04917	Prolactin signaling pathway	0.00962104531148644	-4.64380235996994	74	2	0.125	16	7866	18710,21823	Pik3r3,Th
M00414	Bloom's syndrome complex	0.0101316289602414	-4.59209316809741	5	1	0.0625	16	7866	74386	Rmi1
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0.0101316289602414	-4.59209316809741	5	1	0.0625	16	7866	21823	Th
