TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044446	intracellular organelle part	0.0013187687891702	-6.6310567131294	6229	16	0.592592592592593	27	20989	17932,214901,60530,22137,14183,13430,240084,17527,192156,94353,19933,22142,13607,233406,19132,17217	Myt1,Chtf18,Fignl1,Ttk,Fgfr2,Dnm2,Cchcr1,Mpv17,Mvd,Hmgn3,Rpl21,Tuba1a,Eda,Prc1,Prph,Mcm4
GO:0044422	organelle part	0.00194372260219064	-6.24315027747208	6438	16	0.592592592592593	27	20989	19933,22142,94353,17527,192156,17217,19132,13607,233406,17932,214901,13430,240084,22137,60530,14183	Rpl21,Tuba1a,Hmgn3,Mpv17,Mvd,Mcm4,Prph,Eda,Prc1,Myt1,Chtf18,Dnm2,Cchcr1,Ttk,Fignl1,Fgfr2
GO:0043229	intracellular organelle	0.00207493073029451	-6.1778275088473	11131	22	0.814814814814815	27	20989	94353,19933,18415,22142,17527,192156,15476,266690,19132,17217,13607,233406,242620,13837,17932,214901,13430,240084,60530,22137,17240,14183	Hmgn3,Rpl21,Hspa4l,Tuba1a,Mpv17,Mvd,Hs3st1,Cyb5r4,Prph,Mcm4,Eda,Prc1,Dmrta2,Epha3,Myt1,Chtf18,Dnm2,Cchcr1,Fignl1,Ttk,Mdfi,Fgfr2
GO:0043232	intracellular non-membrane-bounded organelle	0.00381211185847189	-5.56957194984528	3668	11	0.407407407407407	27	20989	60530,22137,233406,17217,240084,19132,13430,214901,22142,19933,94353	Fignl1,Ttk,Prc1,Mcm4,Cchcr1,Prph,Dnm2,Chtf18,Tuba1a,Rpl21,Hmgn3
GO:0043228	non-membrane-bounded organelle	0.00381211185847189	-5.56957194984528	3668	11	0.407407407407407	27	20989	94353,19933,22142,214901,13430,19132,240084,17217,233406,60530,22137	Hmgn3,Rpl21,Tuba1a,Chtf18,Dnm2,Prph,Cchcr1,Mcm4,Prc1,Fignl1,Ttk
GO:0044299	C-fiber	0.00513599853371906	-5.27148099808535	4	1	0.037037037037037	27	20989	19132	Prph
GO:0005737	cytoplasm	0.00524237853361846	-5.25097996500961	10057	20	0.740740740740741	27	20989	214901,17932,13837,17240,14183,60530,22137,240084,13430,15476,192156,17527,22142,216742,18415,19933,233406,13607,19132,266690	Chtf18,Myt1,Epha3,Mdfi,Fgfr2,Fignl1,Ttk,Cchcr1,Dnm2,Hs3st1,Mvd,Mpv17,Tuba1a,Fnip1,Hspa4l,Rpl21,Prc1,Eda,Prph,Cyb5r4
GO:0044424	intracellular part	0.00640754542320203	-5.05027901068336	12834	23	0.851851851851852	27	20989	214901,17932,13837,242620,17240,14183,60530,22137,240084,13430,192156,17527,15476,94353,22142,18415,216742,19933,233406,13607,19132,266690,17217	Chtf18,Myt1,Epha3,Dmrta2,Mdfi,Fgfr2,Fignl1,Ttk,Cchcr1,Dnm2,Mvd,Mpv17,Hs3st1,Hmgn3,Tuba1a,Hspa4l,Fnip1,Rpl21,Prc1,Eda,Prph,Cyb5r4,Mcm4
GO:0045098	type III intermediate filament	0.00641602369643364	-5.04895671509032	5	1	0.037037037037037	27	20989	19132	Prph
GO:0005694	chromosome	0.0066113491647627	-5.01896753629968	950	5	0.185185185185185	27	20989	214901,60530,22137,94353,17217	Chtf18,Fignl1,Ttk,Hmgn3,Mcm4
