TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044464	cell part	1.98133548866283e-06	-13.1317394513998	15033	86	0.914893617021277	94	20989	17125,11482,234353,227937,16000,21664,20646,13617,76263,16601,13803,20821,57138,22589,320292,21828,12308,270190,16911,18074,229699,54132,15203,22343,14133,72565,243374,22234,71738,12805,67804,17933,21689,23872,56760,20541,14402,54403,12488,13078,12834,100702,19211,13593,64294,67790,20358,12193,66066,269152,64143,14089,80892,22762,217265,72560,12628,210126,21810,14619,52906,26427,18573,110521,12562,16493,99586,64540,243771,170771,223864,229759,50706,67784,18260,213988,21885,22129,27223,235402,109594,11568,12798,15566,20563,56469	Smad1,Acvrl1,Psd3,Pkp4,Igf1,Phlda1,Snrpn,Ednra,Gstk1,Klf9,Enc1,Trim21,Slc12a5,Atrx,Rasgef1b,Thbs4,Calb2,Ephb1,Lmo4,Nid2,Slc16a4,Pdlim1,Heph,Lin7c,Fcna,Uaca,Gimap8,Ugcg,Mamdc2,Cntn1,Snx2,Myt1l,Tekt1,Ets2,Clec1b,Slc8a1,Gabrb3,Slc4a4,Cd2ap,Cyp1b1,Col6a2,Gbp6,Pten,Ebf3,Itm2c,Rab39b,Sema6a,Zfp36l2,Gng11,Kif26b,Ralb,Fap,Zfhx4,Zfpm2,Abca5,Naalad2,Cfh,Lpp,Tgfbi,Gjb2,Ahi1,Creb3l1,Pde1a,Hivep1,Cdh5,Kcna5,Dpyd,Tspan4,Parp12,Khdrbs2,Rapgef3,Olfm3,Postn,Plxnd1,Ocln,Tnrc6b,Tle1,Ttc3,Trp53bp1,Lingo1,Lmo1,Aebp1,Cnn2,Htr7,Slit2,Pias1
GO:0005623	cell	2.05322292995934e-06	-13.0960998384094	15041	86	0.914893617021277	94	20989	270190,16911,18074,229699,13803,20821,57138,22589,320292,12308,21828,16000,21664,13617,76263,16601,20646,17125,11482,234353,227937,54403,12488,13078,23872,21689,20541,56760,14402,67804,17933,15203,54132,22343,243374,14133,72565,71738,22234,12805,80892,22762,217265,72560,21810,12628,210126,20358,67790,12193,66066,64143,269152,14089,19211,13593,64294,12834,100702,235402,11568,109594,12798,15566,20563,56469,67784,18260,213988,21885,22129,27223,99586,64540,243771,170771,223864,229759,50706,14619,26427,52906,18573,110521,12562,16493	Ephb1,Lmo4,Nid2,Slc16a4,Enc1,Trim21,Slc12a5,Atrx,Rasgef1b,Calb2,Thbs4,Igf1,Phlda1,Ednra,Gstk1,Klf9,Snrpn,Smad1,Acvrl1,Psd3,Pkp4,Slc4a4,Cd2ap,Cyp1b1,Ets2,Tekt1,Slc8a1,Clec1b,Gabrb3,Snx2,Myt1l,Heph,Pdlim1,Lin7c,Gimap8,Fcna,Uaca,Mamdc2,Ugcg,Cntn1,Zfhx4,Zfpm2,Abca5,Naalad2,Tgfbi,Cfh,Lpp,Sema6a,Rab39b,Zfp36l2,Gng11,Ralb,Kif26b,Fap,Pten,Ebf3,Itm2c,Col6a2,Gbp6,Lingo1,Aebp1,Lmo1,Cnn2,Htr7,Slit2,Pias1,Plxnd1,Ocln,Tnrc6b,Tle1,Ttc3,Trp53bp1,Dpyd,Tspan4,Parp12,Khdrbs2,Rapgef3,Olfm3,Postn,Gjb2,Creb3l1,Ahi1,Pde1a,Hivep1,Cdh5,Kcna5
GO:0005886	plasma membrane	5.26212883508533e-06	-12.1549748915932	4583	40	0.425531914893617	94	20989	234353,12834,11482,227937,19211,16000,64294,16601,13617,57138,66066,67790,20358,14089,64143,270190,72560,229699,12628,22343,14619,15203,12805,16493,12562,14133,64540,229759,223864,20541,56760,23872,18260,67784,14402,235402,54403,12488,20563,15566	Psd3,Col6a2,Acvrl1,Pkp4,Pten,Igf1,Itm2c,Klf9,Ednra,Slc12a5,Gng11,Rab39b,Sema6a,Fap,Ralb,Ephb1,Naalad2,Slc16a4,Cfh,Lin7c,Gjb2,Heph,Cntn1,Kcna5,Cdh5,Fcna,Tspan4,Olfm3,Rapgef3,Slc8a1,Clec1b,Ets2,Ocln,Plxnd1,Gabrb3,Lingo1,Slc4a4,Cd2ap,Slit2,Htr7
GO:0044459	plasma membrane part	5.91452256437744e-06	-12.0380997798732	2449	27	0.287234042553192	94	20989	14089,14402,18260,66066,57138,56760,20541,67784,20358,229699,15566,270190,54403,16493,12562,227937,22343,234353,14619,15203,11482,13617,229759,223864,16000,19211,64540	Fap,Gabrb3,Ocln,Gng11,Slc12a5,Clec1b,Slc8a1,Plxnd1,Sema6a,Slc16a4,Htr7,Ephb1,Slc4a4,Kcna5,Cdh5,Pkp4,Lin7c,Psd3,Gjb2,Heph,Acvrl1,Ednra,Olfm3,Rapgef3,Igf1,Pten,Tspan4
GO:0005911	cell-cell junction	7.2216993518846e-06	-11.838420265457	657	13	0.138297872340426	94	20989	12488,12798,67804,12308,16493,227937,12562,20541,18260,22343,52906,54132,14619	Cd2ap,Cnn2,Snx2,Calb2,Kcna5,Pkp4,Cdh5,Slc8a1,Ocln,Lin7c,Ahi1,Pdlim1,Gjb2
GO:0030054	cell junction	8.26432948526753e-06	-11.7035619569916	1365	19	0.202127659574468	94	20989	229759,64540,67804,16493,227937,12562,22343,234353,52906,14619,54132,12488,210126,12798,14089,12308,14402,20541,18260	Olfm3,Tspan4,Snx2,Kcna5,Pkp4,Cdh5,Lin7c,Psd3,Ahi1,Gjb2,Pdlim1,Cd2ap,Lpp,Cnn2,Fap,Calb2,Gabrb3,Slc8a1,Ocln
GO:0071944	cell periphery	1.0014548485989e-05	-11.5114716736382	4700	40	0.425531914893617	94	20989	14402,67784,56760,20541,23872,18260,15566,12488,20563,54403,235402,12562,14133,12805,16493,14619,15203,22343,223864,229759,64540,14089,64143,20358,67790,66066,57138,12628,229699,270190,72560,227937,11482,12834,234353,64294,16601,13617,19211,16000	Gabrb3,Plxnd1,Clec1b,Slc8a1,Ets2,Ocln,Htr7,Cd2ap,Slit2,Slc4a4,Lingo1,Cdh5,Fcna,Cntn1,Kcna5,Gjb2,Heph,Lin7c,Rapgef3,Olfm3,Tspan4,Fap,Ralb,Sema6a,Rab39b,Gng11,Slc12a5,Cfh,Slc16a4,Ephb1,Naalad2,Pkp4,Acvrl1,Col6a2,Psd3,Itm2c,Klf9,Ednra,Pten,Igf1
GO:0005578	proteinaceous extracellular matrix	0.000136432992125319	-8.89967696405101	337	8	0.0851063829787234	94	20989	50706,20563,21810,18074,16000,71738,21828,12834	Postn,Slit2,Tgfbi,Nid2,Igf1,Mamdc2,Thbs4,Col6a2
GO:0070161	anchoring junction	0.000172368882226557	-8.66587371355209	658	11	0.117021276595745	94	20989	52906,54132,22343,12562,227937,14089,64540,67804,12798,210126,12488	Ahi1,Pdlim1,Lin7c,Cdh5,Pkp4,Fap,Tspan4,Snx2,Cnn2,Lpp,Cd2ap
GO:0031012	extracellular matrix	0.00035144961632181	-7.9534441960436	490	9	0.0957446808510638	94	20989	21828,71738,12834,18074,21810,50706,20563,11568,16000	Thbs4,Mamdc2,Col6a2,Nid2,Tgfbi,Postn,Slit2,Aebp1,Igf1
