TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
21350	Tal2 (T cell acute lymphocytic leukemia 2)	0.000172091971096942	-8.66748150838042	3	2	0.0408163265306122	49	6388	109594,109593	Lmo1,Lmo3
16826	Ldb2 (LIM domain binding 2)	0.000267462598435152	-8.2265308203378	17	3	0.0612244897959184	49	6388	109593,16911,109594	Lmo3,Lmo4,Lmo1
66970	Ssbp2 (single-stranded DNA binding protein 2)	0.000319226761111841	-8.04960885783316	18	3	0.0612244897959184	49	6388	109594,16911,109593	Lmo1,Lmo4,Lmo3
16825	Ldb1 (LIM domain binding 1)	0.00109007448271599	-6.8215092523087	27	3	0.0612244897959184	49	6388	109594,16911,109593	Lmo1,Lmo4,Lmo3
16854	Lgals3 (lectin, galactose binding, soluble 3)	0.00249418654029514	-5.99379263889378	10	2	0.0408163265306122	49	6388	56469,72565	Pias1,Uaca
21812	Tgfbr1 (transforming growth factor, beta receptor I)	0.00426021657031292	-5.45843528189145	13	2	0.0408163265306122	49	6388	18260,11482	Ocln,Acvrl1
14463	Gata4 (GATA binding protein 4)	0.00494600093170276	-5.30917592150793	14	2	0.0408163265306122	49	6388	17125,22762	Smad1,Zfpm2
66313	Smurf2 (SMAD specific E3 ubiquitin protein ligase 2)	0.00494600093170276	-5.30917592150793	14	2	0.0408163265306122	49	6388	17125,27223	Smad1,Trp53bp1
8871	SYNJ2 (synaptojanin 2)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	12488	Cd2ap
12824	Col2a1 (collagen, type II, alpha 1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	110521	Hivep1
24419	Grm6 (glutamate metabotropic receptor 6)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	56469	Pias1
19649	Robo3 (roundabout guidance receptor 3)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	20563	Slit2
117273	Rhoa (ras homolog family member A)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22129	Ttc3
493146	Mnotch (modifier of Notch)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	17125	Smad1
84309	NUDT16L1 (nudix hydrolase 16 like 1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	27223	Trp53bp1
24417	Grm4 (glutamate metabotropic receptor 4)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	56469	Pias1
18189	Nrxn1 (neurexin I)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
7804	LRP8 (LDL receptor related protein 8)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	19211	Pten
68507	Ppfia4 (protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
65263	PYCRL (pyrroline-5-carboxylate reductase-like)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	27223	Trp53bp1
64563	Nphs1 (NPHS1 nephrin)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	12488	Cd2ap
81672	Grm7 (glutamate metabotropic receptor 7)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	56469	Pias1
41565	Su(fu) (Suppressor of fused)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	56469	Pias1
26059	ERC2 (ELKS/RAB6-interacting/CAST family member 2)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	12488	Cd2ap
374920	C19orf68 (chromosome 19 open reading frame 68)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	27223	Trp53bp1
90416	C15orf57 (chromosome 15 open reading frame 57)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
15228	Foxg1 (forkhead box G1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	21885	Tle1
7629	ZNF76 (zinc finger protein 76)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	56469	Pias1
116985	ARAP1 (ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	12488	Cd2ap
268932	Caskin1 (CASK interacting protein 1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
5822	PWP2 (PWP2 periodic tryptophan protein homolog (yeast))	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22589	Atrx
20349	Sema3e (sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	67784	Plxnd1
16855	Lgals4 (lectin, galactose binding, soluble 4)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	72565	Uaca
25937	WWTR1 (WW domain containing transcription regulator 1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
51678	MPP6 (membrane palmitoylated protein 6)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
55114	ARHGAP17 (Rho GTPase activating protein 17)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	27223	Trp53bp1
83620	Cit (citron rho-interacting serine/threonine kinase)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22129	Ttc3
29647	Cask (calcium/calmodulin dependent serine protein kinase)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	12488	Cd2ap
226098	Hectd2 (HECT domain containing 2)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	56469	Pias1
233977	Ppfia1 (protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1)	0.00767063243588104	-4.87035621121595	1	1	0.0204081632653061	49	6388	22343	Lin7c
