TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR016666	TGFBI/POSTN	2.29204514393013e-05	-10.6834809700071	2	2	0.0210526315789474	95	19739	21810,50706	Tgfbi,Postn
IPR001781	Znf_LIM	2.69303620436537e-05	-10.5222562073524	73	5	0.0526315789473684	95	19739	16911,109593,109594,54132,210126	Lmo4,Lmo3,Lmo1,Pdlim1,Lpp
IPR000782	FAS1_domain	0.000136660216551719	-8.89801288401083	4	2	0.0210526315789474	95	19739	21810,50706	Tgfbi,Postn
IPR001627	Semap_dom	0.000440229021397762	-7.72821546329003	31	3	0.0315789473684211	95	19739	20358,67784,218877	Sema6a,Plxnd1,Sema3g
IPR019804	Ras_G-nucl-exch_fac_CS	0.00200863027919877	-6.21030224234082	14	2	0.0210526315789474	95	19739	223864,320292	Rapgef3,Rasgef1b
IPR011489	EMI_domain	0.00297383878362405	-5.81790164101336	17	2	0.0210526315789474	95	19739	21810,50706	Tgfbi,Postn
IPR027231	Semaphorin	0.00411582074629803	-5.49291701242078	20	2	0.0210526315789474	95	19739	218877,20358	Sema3g,Sema6a
IPR032971	CYP1B1	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	13078	Cyp1b1
IPR001853	DSBA-like_thioredoxin_dom	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	76263	Gstk1
IPR002175	ETA_rcpt	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	13617	Ednra
IPR022341	IGF-I	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	16000	Igf1
IPR027227	PIAS1	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	56469	Pias1
IPR017361	Bifunc_PIno_P3_Pase/Pase_PTEN	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	19211	Pten
IPR014440	HCCAis_GSTk	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	76263	Gstk1
IPR002268	Connexin26	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	14619	Gjb2
IPR030710	RGF1B	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	320292	Rasgef1b
IPR030562	ENC1	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	13803	Enc1
IPR030367	ABCA5	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	217265	Abca5
IPR029805	OASIS	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	26427	Creb3l1
IPR032991	Contactin-1	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	12805	Cntn1
IPR031216	Noelin-3	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	229759	Olfm3
IPR002958	Occludin	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	18260	Ocln
IPR031245	FAP/Dpf2	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	14089	Fap
IPR015125	53-BP1_Tudor	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	27223	Trp53bp1
IPR002987	NaCa_exhngr1	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	20541	Slc8a1
IPR029974	CNN2	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	12798	Cnn2
IPR028445	CD2AP	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	12488	Cd2ap
IPR028443	Plakophilin-4	0.00481280713316126	-5.33647476152697	1	1	0.0105263157894737	95	19739	227937	Pkp4
