TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04726	Serotonergic synapse	0.00384870386610694	-5.56001884551856	131	4	0.102564102564103	39	7866	14402,15566,66066,223864	Gabrb3,Htr7,Gng11,Rapgef3
mmu04014	Ras signaling pathway	0.0051400268653453	-5.27069697280785	229	5	0.128205128205128	39	7866	64143,16000,15566,66066,23872	Ralb,Igf1,Htr7,Gng11,Ets2
mmu04151	PI3K-Akt signaling pathway	0.00608352211439747	-5.10217145559955	340	6	0.153846153846154	39	7866	66066,21828,19211,12834,16000,26427	Gng11,Thbs4,Pten,Col6a2,Igf1,Creb3l1
ko04151	PI3K-Akt signaling pathway	0.00608352211439747	-5.10217145559955	340	6	0.153846153846154	39	7866	21828,66066,12834,16000,26427,19211	Thbs4,Gng11,Col6a2,Igf1,Creb3l1,Pten
ko04727	GABAergic synapse	0.0089632020462543	-4.71462774460345	87	3	0.0769230769230769	39	7866	66066,57138,14402	Gng11,Slc12a5,Gabrb3
mmu04727	GABAergic synapse	0.0089632020462543	-4.71462774460345	87	3	0.0769230769230769	39	7866	57138,66066,14402	Slc12a5,Gng11,Gabrb3
ko05215	Prostate cancer	0.00953819287096711	-4.65245123798878	89	3	0.0769230769230769	39	7866	26427,16000,19211	Creb3l1,Igf1,Pten
mmu05215	Prostate cancer	0.00953819287096711	-4.65245123798878	89	3	0.0769230769230769	39	7866	26427,16000,19211	Creb3l1,Igf1,Pten
mmu_M00066	Lactosylceramide biosynthesis	0.00989213961953852	-4.61601481503332	2	1	0.0256410256410256	39	7866	22234	Ugcg
M00066	Lactosylceramide biosynthesis	0.00989213961953852	-4.61601481503332	2	1	0.0256410256410256	39	7866	22234	Ugcg
mmu05032	Morphine addiction	0.0101343663022573	-4.59182302671061	91	3	0.0769230769230769	39	7866	66066,14402,18573	Gng11,Gabrb3,Pde1a
ko05032	Morphine addiction	0.0101343663022573	-4.59182302671061	91	3	0.0769230769230769	39	7866	66066,14402,18573	Gng11,Gabrb3,Pde1a
mmu04360	Axon guidance	0.0110332177956999	-4.50684475701089	177	4	0.102564102564103	39	7866	218877,270190,20358,20563	Sema3g,Ephb1,Sema6a,Slit2
ko04360	Axon guidance	0.0110332177956999	-4.50684475701089	177	4	0.102564102564103	39	7866	218877,20563,20358,270190	Sema3g,Slit2,Sema6a,Ephb1
ko04020	Calcium signaling pathway	0.012129340848705	-4.4121278980876	182	4	0.102564102564103	39	7866	18573,15566,13617,20541	Pde1a,Htr7,Ednra,Slc8a1
mmu04020	Calcium signaling pathway	0.012129340848705	-4.4121278980876	182	4	0.102564102564103	39	7866	20541,13617,18573,15566	Slc8a1,Ednra,Pde1a,Htr7
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0.0148023896902359	-4.21296664568975	3	1	0.0256410256410256	39	7866	99586	Dpyd
mmu_M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0.0148023896902359	-4.21296664568975	3	1	0.0256410256410256	39	7866	99586	Dpyd
ko04510	Focal adhesion	0.0166494136281005	-4.09538028070734	200	4	0.102564102564103	39	7866	12834,16000,19211,21828	Col6a2,Igf1,Pten,Thbs4
mmu04510	Focal adhesion	0.0166494136281005	-4.09538028070734	200	4	0.102564102564103	39	7866	21828,12834,16000,19211	Thbs4,Col6a2,Igf1,Pten
mmu04670	Leukocyte transendothelial migration	0.0203186225473429	-3.89621744659403	118	3	0.0769230769230769	39	7866	12562,223864,18260	Cdh5,Rapgef3,Ocln
ko04670	Leukocyte transendothelial migration	0.0203186225473429	-3.89621744659403	118	3	0.0769230769230769	39	7866	223864,12562,18260	Rapgef3,Cdh5,Ocln
