TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-3232118	SUMOylation of transcription factors	0.00210283461715727	-6.16446902674376	12	2	0.04	50	8608	27223,56469	Trp53bp1,Pias1
R-MMU-416700	Other semaphorin interactions	0.00476751370017791	-5.34593034683302	18	2	0.04	50	8608	67784,20358	Plxnd1,Sema6a
R-MMU-8854521	Interaction between PHLDA1 and AURKA	0.0115840320601018	-4.45812767572332	2	1	0.02	50	8608	21664	Phlda1
R-MMU-190872	Transport of connexons to the plasma membrane	0.0115840320601018	-4.45812767572332	2	1	0.02	50	8608	14619	Gjb2
R-MMU-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	0.0174128141577889	-4.0505488979549	35	2	0.04	50	8608	66066,223864	Gng11,Rapgef3
R-MMU-190861	Gap junction assembly	0.0230365276207584	-3.77067416541706	4	1	0.02	50	8608	14619	Gjb2
R-MMU-4551638	SUMOylation of chromatin organization proteins	0.0230365276207584	-3.77067416541706	4	1	0.02	50	8608	56469	Pias1
R-MMU-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	0.0234113424227009	-3.7545346551379	106	3	0.06	50	8608	54403,20541,57138	Slc4a4,Slc8a1,Slc12a5
R-MMU-428890	Role of Abl in Robo-Slit signaling	0.0287139071671734	-3.55037370329804	5	1	0.02	50	8608	20563	Slit2
R-MMU-8849468	PTK6 Regulates Proteins Involved in RNA Processing	0.0287139071671734	-3.55037370329804	5	1	0.02	50	8608	170771	Khdrbs2
R-MMU-212676	Dopamine Neurotransmitter Release Cycle	0.0343589501341201	-3.3708927372188	6	1	0.02	50	8608	22343	Lin7c
R-MMU-447043	Neurofascin interactions	0.0343589501341201	-3.3708927372188	6	1	0.02	50	8608	12805	Cntn1
R-MMU-2428933	SHC-related events triggered by IGF1R	0.0343589501341201	-3.3708927372188	6	1	0.02	50	8608	16000	Igf1
R-MMU-111957	Cam-PDE 1 activation	0.0343589501341201	-3.3708927372188	6	1	0.02	50	8608	18573	Pde1a
R-MMU-6787639	GDP-fucose biosynthesis	0.0343589501341201	-3.3708927372188	6	1	0.02	50	8608	218138	Gmds
R-MMU-422475	Axon guidance	0.0393677160261261	-3.23480918876174	436	6	0.12	50	8608	20358,12805,12834,270190,20563,67784	Sema6a,Cntn1,Col6a2,Ephb1,Slit2,Plxnd1
R-MMU-426117	Cation-coupled Chloride cotransporters	0.0399718369622169	-3.21958014879065	7	1	0.02	50	8608	57138	Slc12a5
R-MMU-4641265	Repression of WNT target genes	0.0399718369622169	-3.21958014879065	7	1	0.02	50	8608	21885	Tle1
R-MMU-426496	Post-transcriptional silencing by small RNAs	0.0399718369622169	-3.21958014879065	7	1	0.02	50	8608	213988	Tnrc6b
R-MMU-373755	Semaphorin interactions	0.0403886458253784	-3.20920657744156	55	2	0.04	50	8608	67784,20358	Plxnd1,Sema6a
R-MMU-418346	Platelet homeostasis	0.0417320254876491	-3.17648644763067	56	2	0.04	50	8608	18573,20541	Pde1a,Slc8a1
R-MMU-193634	Axonal growth inhibition (RHOA activation)	0.0455527471063107	-3.08888434740624	8	1	0.02	50	8608	235402	Lingo1
R-MMU-193697	p75NTR regulates axonogenesis	0.0511018590434408	-2.97393440193637	9	1	0.02	50	8608	235402	Lingo1
R-MMU-425381	Bicarbonate transporters	0.0566193502680652	-2.87140447467215	10	1	0.02	50	8608	54403	Slc4a4
R-MMU-373753	Nephrin interactions	0.0566193502680652	-2.87140447467215	10	1	0.02	50	8608	12488	Cd2ap
R-MMU-73621	Pyrimidine catabolism	0.0621053973119099	-2.77892238058418	11	1	0.02	50	8608	99586	Dpyd
R-MMU-390666	Serotonin receptors	0.0621053973119099	-2.77892238058418	11	1	0.02	50	8608	15566	Htr7
R-MMU-190828	Gap junction trafficking	0.0621053973119099	-2.77892238058418	11	1	0.02	50	8608	14619	Gjb2
R-MMU-422356	Regulation of insulin secretion	0.0653513161525684	-2.72797769906011	72	2	0.04	50	8608	66066,223864	Gng11,Rapgef3
R-MMU-382551	Transmembrane transport of small molecules	0.066312967264355	-2.71336981623344	622	7	0.14	50	8608	54403,66066,20541,14402,217265,57138,15203	Slc4a4,Gng11,Slc8a1,Gabrb3,Abca5,Slc12a5,Heph
R-MMU-376176	Signaling by Robo receptor	0.0675601757396834	-2.69473658580727	12	1	0.02	50	8608	20563	Slit2
R-MMU-877312	Regulation of IFNG signaling	0.0675601757396834	-2.69473658580727	12	1	0.02	50	8608	56469	Pias1
R-MMU-157858	Gap junction trafficking and regulation	0.0729838601509814	-2.61751695610076	13	1	0.02	50	8608	14619	Gjb2
R-MMU-425561	Sodium/Calcium exchangers	0.0729838601509814	-2.61751695610076	13	1	0.02	50	8608	20541	Slc8a1
R-MMU-977441	GABA A receptor activation	0.0729838601509814	-2.61751695610076	13	1	0.02	50	8608	14402	Gabrb3
R-MMU-418457	cGMP effects	0.0729838601509814	-2.61751695610076	13	1	0.02	50	8608	18573	Pde1a
R-MMU-425407	SLC-mediated transmembrane transport	0.0739488265851042	-2.60438195763068	274	4	0.08	50	8608	54403,20541,57138,15203	Slc4a4,Slc8a1,Slc12a5,Heph
R-MMU-109582	Hemostasis	0.0762221892510126	-2.57410266115946	515	6	0.12	50	8608	56760,223864,16000,20541,22762,18573	Clec1b,Rapgef3,Igf1,Slc8a1,Zfpm2,Pde1a
R-MMU-418359	Reduction of cytosolic Ca++ levels	0.0783766241998595	-2.5462295568006	14	1	0.02	50	8608	20541	Slc8a1
R-MMU-1369062	ABC transporters in lipid homeostasis	0.0783766241998595	-2.5462295568006	14	1	0.02	50	8608	217265	Abca5
R-MMU-392517	Rap1 signalling	0.0837386405821698	-2.48005475231596	15	1	0.02	50	8608	223864	Rapgef3
R-MMU-392154	Nitric oxide stimulates guanylate cyclase	0.0890700810542581	-2.41833179153251	16	1	0.02	50	8608	18573	Pde1a
R-MMU-3134975	Regulation of innate immune responses to cytosolic DNA	0.0890700810542581	-2.41833179153251	16	1	0.02	50	8608	20821	Trim21
R-MMU-422085	Synthesis, secretion, and deacylation of Ghrelin	0.0890700810542581	-2.41833179153251	16	1	0.02	50	8608	16000	Igf1
R-MMU-3928664	Ephrin signaling	0.0943711164325748	-2.36052022264296	17	1	0.02	50	8608	270190	Ephb1
R-MMU-877300	Interferon gamma signaling	0.0943711164325748	-2.36052022264296	17	1	0.02	50	8608	56469	Pias1
R-MMU-3108232	SUMO E3 ligases SUMOylate target proteins	0.0995786463175899	-2.30680753177906	92	2	0.04	50	8608	27223,56469	Trp53bp1,Pias1
R-MMU-2559585	Oncogene Induced Senescence	0.0996419165894465	-2.30617235363218	18	1	0.02	50	8608	23872	Ets2
R-MMU-1500931	Cell-Cell communication	0.110659906238974	-2.20129368880176	98	2	0.04	50	8608	12488,12562	Cd2ap,Cdh5
R-MMU-2990846	SUMOylation	0.110659906238974	-2.20129368880176	98	2	0.04	50	8608	56469,27223	Pias1,Trp53bp1
R-MMU-163685	Integration of energy metabolism	0.112537888595455	-2.18446532652269	99	2	0.04	50	8608	66066,223864	Gng11,Rapgef3
R-MMU-3000157	Laminin interactions	0.115274590675449	-2.16043825174842	21	1	0.02	50	8608	18074	Nid2
R-MMU-186797	Signaling by PDGF	0.116035745606399	-2.15385698356548	322	4	0.08	50	8608	21828,12834,19211,18573	Thbs4,Col6a2,Pten,Pde1a
R-MMU-975298	Ligand-gated ion channel transport	0.120426130264078	-2.11671874088334	22	1	0.02	50	8608	14402	Gabrb3
R-MMU-425410	Metal ion SLC transporters	0.125548270203993	-2.07506497121943	23	1	0.02	50	8608	15203	Heph
R-MMU-201451	Signaling by BMP	0.125548270203993	-2.07506497121943	23	1	0.02	50	8608	17125	Smad1
R-MMU-419037	NCAM1 interactions	0.125548270203993	-2.07506497121943	23	1	0.02	50	8608	12834	Col6a2
R-MMU-400042	Adrenaline,noradrenaline inhibits insulin secretion	0.125548270203993	-2.07506497121943	23	1	0.02	50	8608	66066	Gng11
R-MMU-2142670	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	0.125548270203993	-2.07506497121943	23	1	0.02	50	8608	13078	Cyp1b1
R-MMU-73848	Pyrimidine metabolism	0.130641174858004	-2.0353008372648	24	1	0.02	50	8608	99586	Dpyd
R-MMU-70614	Amino acid synthesis and interconversion (transamination)	0.135705007719496	-1.99727180995193	25	1	0.02	50	8608	72560	Naalad2
R-MMU-111997	CaM pathway	0.140739931361153	-1.96084155014349	26	1	0.02	50	8608	18573	Pde1a
R-MMU-211976	Endogenous sterols	0.140739931361153	-1.96084155014349	26	1	0.02	50	8608	13078	Cyp1b1
R-MMU-5218920	VEGFR2 mediated vascular permeability	0.140739931361153	-1.96084155014349	26	1	0.02	50	8608	12562	Cdh5
R-MMU-111933	Calmodulin induced events	0.140739931361153	-1.96084155014349	26	1	0.02	50	8608	18573	Pde1a
R-MMU-977606	Regulation of Complement cascade	0.140739931361153	-1.96084155014349	26	1	0.02	50	8608	12628	Cfh
R-MMU-156590	Glutathione conjugation	0.140739931361153	-1.96084155014349	26	1	0.02	50	8608	76263	Gstk1
R-MMU-418555	G alpha (s) signalling events	0.145634839410225	-1.92665289017921	116	2	0.04	50	8608	18573,15566	Pde1a,Htr7
R-MMU-354192	Integrin alphaIIb beta3 signaling	0.14574610747897	-1.925889160942	27	1	0.02	50	8608	223864	Rapgef3
R-MMU-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	0.14574610747897	-1.925889160942	27	1	0.02	50	8608	13078	Cyp1b1
R-MMU-418360	Platelet calcium homeostasis	0.14574610747897	-1.925889160942	27	1	0.02	50	8608	20541	Slc8a1
R-MMU-167021	PLC-gamma1 signalling	0.14574610747897	-1.925889160942	27	1	0.02	50	8608	18573	Pde1a
R-MMU-1489509	DAG and IP3 signaling	0.14574610747897	-1.925889160942	27	1	0.02	50	8608	18573	Pde1a
R-MMU-1855204	Synthesis of IP3 and IP4 in the cytosol	0.150723696875648	-1.89230694035213	28	1	0.02	50	8608	19211	Pten
R-MMU-5689896	Ovarian tumor domain proteases	0.150723696875648	-1.89230694035213	28	1	0.02	50	8608	19211	Pten
R-MMU-111996	Ca-dependent events	0.150723696875648	-1.89230694035213	28	1	0.02	50	8608	18573	Pde1a
R-MMU-212718	EGFR interacts with phospholipase C-gamma	0.160593754347458	-1.82887736771848	30	1	0.02	50	8608	18573	Pde1a
R-MMU-420092	Glucagon-type ligand receptors	0.160593754347458	-1.82887736771848	30	1	0.02	50	8608	66066	Gng11
R-MMU-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.165486539642895	-1.79886541893548	31	1	0.02	50	8608	16000	Igf1
R-MMU-163359	Glucagon signaling in metabolic regulation	0.170351372685718	-1.76989207687582	32	1	0.02	50	8608	66066	Gng11
R-MMU-76009	Platelet Aggregation (Plug Formation)	0.179997806953284	-1.71481061175902	34	1	0.02	50	8608	223864	Rapgef3
R-MMU-418990	Adherens junctions interactions	0.184779718503596	-1.68859087415451	35	1	0.02	50	8608	12562	Cdh5
R-MMU-375280	Amine ligand-binding receptors	0.184779718503596	-1.68859087415451	35	1	0.02	50	8608	15566	Htr7
R-MMU-76002	Platelet activation, signaling and aggregation	0.191406132462059	-1.6533577604449	260	3	0.06	50	8608	56760,223864,16000	Clec1b,Rapgef3,Igf1
R-MMU-3928665	EPH-ephrin mediated repulsion of cells	0.194261699906218	-1.63854906037076	37	1	0.02	50	8608	270190	Ephb1
R-MMU-3928662	EPHB-mediated forward signaling	0.194261699906218	-1.63854906037076	37	1	0.02	50	8608	270190	Ephb1
R-MMU-201722	Formation of the beta-catenin:TCF transactivating complex	0.198962075011913	-1.61464105024949	38	1	0.02	50	8608	21885	Tle1
R-MMU-166658	Complement cascade	0.203635575154924	-1.59142327894599	39	1	0.02	50	8608	12628	Cfh
R-MMU-1660662	Glycosphingolipid metabolism	0.203635575154924	-1.59142327894599	39	1	0.02	50	8608	22234	Ugcg
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.203635575154924	-1.59142327894599	39	1	0.02	50	8608	21885	Tle1
R-MMU-112043	PLC beta mediated events	0.208282350889401	-1.5688606635925	40	1	0.02	50	8608	18573	Pde1a
R-MMU-5696395	Formation of Incision Complex in GG-NER	0.208282350889401	-1.5688606635925	40	1	0.02	50	8608	56469	Pias1
R-MMU-2022090	Assembly of collagen fibrils and other multimeric structures	0.208282350889401	-1.5688606635925	40	1	0.02	50	8608	12834	Col6a2
R-MMU-1266738	Developmental Biology	0.210477907357612	-1.55837458453816	839	7	0.14	50	8608	12834,270190,20563,67784,20358,12805,227937	Col6a2,Ephb1,Slit2,Plxnd1,Sema6a,Cntn1,Pkp4
R-MMU-112040	G-protein mediated events	0.212902551919511	-1.54692072068432	41	1	0.02	50	8608	18573	Pde1a
R-MMU-8948216	Collagen chain trimerization	0.212902551919511	-1.54692072068432	41	1	0.02	50	8608	12834	Col6a2
R-MMU-917937	Iron uptake and transport	0.217496327153035	-1.52557331524869	42	1	0.02	50	8608	15203	Heph
R-MMU-432040	Vasopressin regulates renal water homeostasis via Aquaporins	0.217496327153035	-1.52557331524869	42	1	0.02	50	8608	66066	Gng11
R-MMU-1296072	Voltage gated Potassium channels	0.22206382465916	-1.50479043996494	43	1	0.02	50	8608	16493	Kcna5
R-MMU-421270	Cell-cell junction organization	0.23112057475035	-1.46481573602234	45	1	0.02	50	8608	12562	Cdh5
R-MMU-112310	Neurotransmitter Release Cycle	0.235610119459592	-1.44557687626127	46	1	0.02	50	8608	22343	Lin7c
R-MMU-1660499	Synthesis of PIPs at the plasma membrane	0.235610119459592	-1.44557687626127	46	1	0.02	50	8608	19211	Pten
R-MMU-1483249	Inositol phosphate metabolism	0.24007397066342	-1.42680819202985	47	1	0.02	50	8608	19211	Pten
R-MMU-5693571	Nonhomologous End-Joining (NHEJ)	0.244512272433096	-1.40848977732649	48	1	0.02	50	8608	27223	Trp53bp1
R-MMU-114604	GPVI-mediated activation cascade	0.244512272433096	-1.40848977732649	48	1	0.02	50	8608	56760	Clec1b
R-MMU-445717	Aquaporin-mediated transport	0.244512272433096	-1.40848977732649	48	1	0.02	50	8608	66066	Gng11
R-MMU-5578775	Ion homeostasis	0.25767530989092	-1.35605497541745	51	1	0.02	50	8608	20541	Slc8a1
R-MMU-5689880	Ub-specific processing proteases	0.261695128308298	-1.34057508517797	171	2	0.04	50	8608	19211,17125	Pten,Smad1
R-MMU-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	0.262012838754955	-1.33936177354013	52	1	0.02	50	8608	27223	Trp53bp1
R-MMU-6809371	Formation of the cornified envelope	0.266325526703188	-1.32303593381598	53	1	0.02	50	8608	227937	Pkp4
R-MMU-5693606	DNA Double Strand Break Response	0.266325526703188	-1.32303593381598	53	1	0.02	50	8608	27223	Trp53bp1
R-MMU-112316	Neuronal System	0.268343942377712	-1.31548575420189	310	3	0.06	50	8608	14402,16493,22343	Gabrb3,Kcna5,Lin7c
R-MMU-977443	GABA receptor activation	0.274876936567965	-1.29143178486431	55	1	0.02	50	8608	14402	Gabrb3
R-MMU-373080	Class B/2 (Secretin family receptors)	0.274876936567965	-1.29143178486431	55	1	0.02	50	8608	66066	Gng11
R-MMU-1834949	Cytosolic sensors of pathogen-associated DNA	0.279115934953065	-1.27612804600637	56	1	0.02	50	8608	20821	Trim21
R-MMU-432722	Golgi Associated Vesicle Biogenesis	0.279115934953065	-1.27612804600637	56	1	0.02	50	8608	67804	Snx2
R-MMU-8848021	Signaling by PTK6	0.283330645341743	-1.26114070524003	57	1	0.02	50	8608	170771	Khdrbs2
R-MMU-111885	Opioid Signalling	0.287521204072028	-1.24645866817036	58	1	0.02	50	8608	18573	Pde1a
R-MMU-446219	Synthesis of substrates in N-glycan biosythesis	0.295830408189005	-1.21796893416138	60	1	0.02	50	8608	218138	Gmds
R-MMU-913531	Interferon Signaling	0.299949322504282	-1.20414174358109	61	1	0.02	50	8608	56469	Pias1
R-MMU-1650814	Collagen biosynthesis and modifying enzymes	0.304044623066508	-1.190580801945	62	1	0.02	50	8608	12834	Col6a2
R-MMU-112315	Transmission across Chemical Synapses	0.315725871756037	-1.1528809363292	196	2	0.04	50	8608	22343,14402	Lin7c,Gabrb3
R-MMU-2980736	Peptide hormone metabolism	0.320192329395043	-1.13883343437466	66	1	0.02	50	8608	16000	Igf1
R-MMU-446728	Cell junction organization	0.320192329395043	-1.13883343437466	66	1	0.02	50	8608	12562	Cdh5
R-MMU-373760	L1CAM interactions	0.324171536088541	-1.12648247091764	67	1	0.02	50	8608	12805	Cntn1
R-MMU-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0.335972695651508	-1.09072538526289	70	1	0.02	50	8608	218138	Gmds
R-MMU-1483255	PI Metabolism	0.33986135402749	-1.07921752680982	71	1	0.02	50	8608	19211	Pten
R-MMU-2682334	EPH-Ephrin signaling	0.33986135402749	-1.07921752680982	71	1	0.02	50	8608	270190	Ephb1
R-MMU-421837	Clathrin derived vesicle budding	0.34372769258146	-1.06790552641556	72	1	0.02	50	8608	67804	Snx2
R-MMU-199992	trans-Golgi Network Vesicle Budding	0.34372769258146	-1.06790552641556	72	1	0.02	50	8608	67804	Snx2
