TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0048518	positive regulation of biological process	1.03444987638418e-08	-18.3868109789438	5067	48	0.516129032258065	93	20933	22762,16000,21885,218877,20541,17125,19211,13617,64143,22589,269152,16493,21828,11482,20563,109594,14089,270190,20358,17933,16601,223864,13803,23872,14133,50706,64294,16911,12805,13078,27223,52906,12562,13593,21664,56469,12798,15566,20821,26427,213988,22234,12193,72565,12488,12628,227937,109593	Zfpm2,Igf1,Tle1,Sema3g,Slc8a1,Smad1,Pten,Ednra,Ralb,Atrx,Kif26b,Kcna5,Thbs4,Acvrl1,Slit2,Lmo1,Fap,Ephb1,Sema6a,Myt1l,Klf9,Rapgef3,Enc1,Ets2,Fcna,Postn,Itm2c,Lmo4,Cntn1,Cyp1b1,Trp53bp1,Ahi1,Cdh5,Ebf3,Phlda1,Pias1,Cnn2,Htr7,Trim21,Creb3l1,Tnrc6b,Ugcg,Zfp36l2,Uaca,Cd2ap,Cfh,Pkp4,Lmo3
GO:0048869	cellular developmental process	3.44804176341058e-07	-14.8802891858722	3506	36	0.387096774193548	93	20933	15203,20541,218877,22762,14402,16000,67784,13617,22589,269152,17125,19211,21828,11482,20563,229759,17933,13803,223864,270190,20358,57138,50706,64294,16911,12805,22129,23872,235402,52906,26427,56469,15566,67804,12193,56760	Heph,Slc8a1,Sema3g,Zfpm2,Gabrb3,Igf1,Plxnd1,Ednra,Atrx,Kif26b,Smad1,Pten,Thbs4,Acvrl1,Slit2,Olfm3,Myt1l,Enc1,Rapgef3,Ephb1,Sema6a,Slc12a5,Postn,Itm2c,Lmo4,Cntn1,Ttc3,Ets2,Lingo1,Ahi1,Creb3l1,Pias1,Htr7,Snx2,Zfp36l2,Clec1b
GO:0009653	anatomical structure morphogenesis	3.94623795941407e-07	-14.7453329412192	2010	26	0.279569892473118	93	20933	16000,67784,22762,23872,20541,16911,50706,52906,235402,19211,13078,22343,17125,269152,22589,13617,229759,14089,11482,20563,21828,56760,20358,67804,270190,223864	Igf1,Plxnd1,Zfpm2,Ets2,Slc8a1,Lmo4,Postn,Ahi1,Lingo1,Pten,Cyp1b1,Lin7c,Smad1,Kif26b,Atrx,Ednra,Olfm3,Fap,Acvrl1,Slit2,Thbs4,Clec1b,Sema6a,Snx2,Ephb1,Rapgef3
GO:0048522	positive regulation of cellular process	4.91159438982679e-07	-14.526497038884	4584	42	0.451612903225806	93	20933	22589,64143,13617,19211,17125,218877,20541,16000,22762,13803,223864,16601,17933,20358,270190,14089,20563,109594,11482,21828,16493,21664,13593,12562,52906,13078,27223,12805,16911,64294,50706,23872,109593,227937,72565,12193,22234,213988,26427,20821,15566,56469	Atrx,Ralb,Ednra,Pten,Smad1,Sema3g,Slc8a1,Igf1,Zfpm2,Enc1,Rapgef3,Klf9,Myt1l,Sema6a,Ephb1,Fap,Slit2,Lmo1,Acvrl1,Thbs4,Kcna5,Phlda1,Ebf3,Cdh5,Ahi1,Cyp1b1,Trp53bp1,Cntn1,Lmo4,Itm2c,Postn,Ets2,Lmo3,Pkp4,Uaca,Zfp36l2,Ugcg,Tnrc6b,Creb3l1,Trim21,Htr7,Pias1
GO:0051129	negative regulation of cellular component organization	6.05370898466525e-07	-14.3174245114406	621	14	0.150537634408602	93	20933	22589,223864,20358,19211,64294,16911,50706,14089,218877,20563,11482,12798,22129,16000	Atrx,Rapgef3,Sema6a,Pten,Itm2c,Lmo4,Postn,Fap,Sema3g,Slit2,Acvrl1,Cnn2,Ttc3,Igf1
GO:0030154	cell differentiation	6.43053678488458e-07	-14.2570376348736	3430	35	0.376344086021505	93	20933	270190,20358,17933,13803,223864,229759,21828,20563,11482,17125,19211,13617,269152,22589,16000,67784,14402,22762,218877,15203,20541,12193,56760,56469,15566,26427,52906,235402,23872,22129,64294,16911,50706,57138,12805	Ephb1,Sema6a,Myt1l,Enc1,Rapgef3,Olfm3,Thbs4,Slit2,Acvrl1,Smad1,Pten,Ednra,Kif26b,Atrx,Igf1,Plxnd1,Gabrb3,Zfpm2,Sema3g,Heph,Slc8a1,Zfp36l2,Clec1b,Pias1,Htr7,Creb3l1,Ahi1,Lingo1,Ets2,Ttc3,Itm2c,Lmo4,Postn,Slc12a5,Cntn1
GO:0065007	biological regulation	6.74736323593701e-07	-14.2089438541034	11275	73	0.78494623655914	93	20933	66066,17125,22589,64143,67784,14402,22762,20541,80892,223864,16601,17933,12308,14089,11482,109594,20563,52906,54403,22343,27223,13078,23872,12805,64294,57138,50706,56760,217265,72565,12193,96935,64540,109593,20821,15566,12798,56469,22234,26427,18573,19211,72560,269152,13617,11568,16000,15203,218877,21885,234353,20358,270190,13803,170771,16493,21828,235402,243374,21664,13593,320292,12562,14133,22129,67790,16911,12628,12488,54132,227937,213988,110521	Gng11,Smad1,Atrx,Ralb,Plxnd1,Gabrb3,Zfpm2,Slc8a1,Zfhx4,Rapgef3,Klf9,Myt1l,Calb2,Fap,Acvrl1,Lmo1,Slit2,Ahi1,Slc4a4,Lin7c,Trp53bp1,Cyp1b1,Ets2,Cntn1,Itm2c,Slc12a5,Postn,Clec1b,Abca5,Uaca,Zfp36l2,Susd4,Tspan4,Lmo3,Trim21,Htr7,Cnn2,Pias1,Ugcg,Creb3l1,Pde1a,Pten,Naalad2,Kif26b,Ednra,Aebp1,Igf1,Heph,Sema3g,Tle1,Psd3,Sema6a,Ephb1,Enc1,Khdrbs2,Kcna5,Thbs4,Lingo1,Gimap8,Phlda1,Ebf3,Rasgef1b,Cdh5,Fcna,Ttc3,Rab39b,Lmo4,Cfh,Cd2ap,Pdlim1,Pkp4,Tnrc6b,Hivep1
GO:0030334	regulation of cell migration	7.04559557516075e-07	-14.1656929704781	727	15	0.161290322580645	93	20933	50706,21828,16911,20563,20541,218877,11482,12798,16000,67784,13617,223864,13078,20358,19211	Postn,Thbs4,Lmo4,Slit2,Slc8a1,Sema3g,Acvrl1,Cnn2,Igf1,Plxnd1,Ednra,Rapgef3,Cyp1b1,Sema6a,Pten
GO:0040012	regulation of locomotion	7.1771435019152e-07	-14.1471941880168	831	16	0.172043010752688	93	20933	13617,19211,13078,218877,20541,16911,50706,67784,16000,223864,20358,20563,11482,21828,20821,12798	Ednra,Pten,Cyp1b1,Sema3g,Slc8a1,Lmo4,Postn,Plxnd1,Igf1,Rapgef3,Sema6a,Slit2,Acvrl1,Thbs4,Trim21,Cnn2
GO:0030182	neuron differentiation	7.67520810087379e-07	-14.0801002437323	943	17	0.182795698924731	93	20933	270190,20358,229759,15566,21828,20563,52906,19211,235402,269152,67784,14402,64294,16911,57138,50706,12805	Ephb1,Sema6a,Olfm3,Htr7,Thbs4,Slit2,Ahi1,Pten,Lingo1,Kif26b,Plxnd1,Gabrb3,Itm2c,Lmo4,Slc12a5,Postn,Cntn1
